"Item","Unit","2013","2014","2015","2016","2017","2018","2019","2020","2021 (a) 2022 (b)",""
"1.  Total Area under Cane","","","","","","","","","","",""
"(with Ratoons)  (c)","hectares","11,801","12,608","12,135","11,784","11,156","11,228","12,270","13,564","14,407","14,111"
"2.  Area Harvested","","","","","","","","","","",""
"","hectares","9,329","11,045","9,005","11,676","9,943","9,238","10,550","12,449","12,485","14,334"
"(with Ratoons)  (c)","","","","","","","","","","",""
"3.  Cane Harvested","","","","","","","","","","",""
"","mt ‘000","534","576","572","653","591","567","600","699","907","757"
"(with Ratoons)  (c)","","","","","","","","","","",""
"4.  Private Cane Purchased","mt ‘000","144","204","190","315","301","182","67","120","229","328"
"5.  Quantity of Cane Crushed","mt ‘000","644","657","750","798","747","720","729","884","1,282","1,279"
"6.  Average Yield (c)","mt/hectare","67","75","89","58","56","55","62","59","67","60"
"7.  Sugar Production","","","","","","","","","","",""
"(without Sweepings)","mt ‘000","53","52","56","61","56","51","52","60","81","79"
"8.  Sugar Recovery Rate (d)","percentage","8.2","8.0","7.5","7.7","7.4","7.1","7.2","6.8","6.3","6.2"
"(a)  Revised","","","","","","Sources: Lanka Sugar Company (Pvt) Ltd. - Sevanagala Unit","","","","",""
