"","","Foreign Trade","","","",""
"","","Rs. million","","","US$ million",""
"Period","","","","","",""
"","Exports","Imports","Balance of Trade","Exports","Imports","Balance of Trade"
"2018","1,933,533","3,606,644","-1,673,111","11,890","22,233","-10,343"
"2019","2,134,796","3,565,028","-1,430,232","11,940","19,937","-7,997"
"2020","1,858,927","2,974,915","-1,115,988","10,047","16,055","-6,008"
"2021","2,486,943","4,104,218","-1,617,274","12,499","20,637","-8,139"
"2022 (a)","4,234,913","5,737,333","-1,502,420","13,106","18,291","-5,185"
"2020             1st  Quarter","483,205","821,457","-338,252","2,650","4,503","-1,853"
"2nd Quarter","330,996","599,729","-268,733","1,763","3,172","-1,409"
"3rd  Quarter","561,826","760,928","-199,102","3,032","4,108","-1,075"
"4th  Quarter","482,899","792,801","-309,902","2,602","4,273","-1,671"
"2021             1st  Quarter","578,579","978,240","-399,662","2,982","5,041","-2,059"
"2nd Quarter","540,716","989,351","-448,634","2,717","4,974","-2,257"
"3rd  Quarter","650,462","988,389","-337,927","3,239","4,923","-1,683"
"4th  Quarter","717,186","1,148,238","-431,051","3,560","5,700","-2,140"
"2022 (a)        1st  Quarter","713,406","1,237,881","-524,475","3,254","5,651","-2,397"
"2nd Quarter","1,136,284","1,505,533","-369,249","3,268","4,377","-1,109"
"3rd  Quarter","1,253,940","1,466,214","-212,274","3,470","4,057","-587"
"4th  Quarter","1,131,283","1,527,706","-396,422","3,114","4,206","-1,091"
"2021             January","178,426","303,185","-124,758","937","1,592","-655"
"February","184,698","295,680","-110,983","952","1,524","-572"
"March","215,454","379,375","-163,921","1,094","1,926","-832"
"April","161,528","336,996","-175,467","818","1,707","-889"
"May","177,970","320,819","-142,849","892","1,607","-716"
"June","201,218","331,536","-130,318","1,007","1,659","-652"
"July","220,762","341,981","-121,219","1,104","1,710","-606"
"August","220,754","338,171","-117,417","1,101","1,687","-586"
"September","208,946","308,237","-99,291","1,034","1,526","-492"
"October","239,767","340,702","-100,935","1,192","1,694","-502"
"November","244,545","356,205","-111,660","1,211","1,765","-553"
"December","232,875","451,331","-218,456","1,156","2,241","-1,085"
"2022 (a)        January","222,136","394,747","-172,611","1,103","1,959","-857"
"February","220,566","377,842","-157,276","1,093","1,873","-780"
"March","270,704","465,293","-194,588","1,058","1,819","-761"
"April","310,147","542,717","-232,570","971","1,699","-728"
"May","376,276","520,987","-144,711","1,048","1,451","-403"
"June","449,861","441,829","8,033","1,249","1,226","22"
"July","420,271","464,386","-44,115","1,165","1,287","-122"
"August","442,357","536,397","-94,040","1,225","1,486","-260"
"September","391,312","465,431","-74,119","1,080","1,284","-205"
"October","381,874","485,045","-103,171","1,052","1,336","-284"
"November","361,697","524,946","-163,249","995","1,445","-449"
"December","387,713","517,715","-130,002","1,068","1,426","-358"
"(a) Provisional","","","","Sources: Sri Lanka Customs","",""
