"September","742,124","786,471","1,528,595","10,075,600","447,286","10,522,885","12,051,480","-1,590,817","-527,610","225,588","-302,022","-1,892,839"
"October","690,821","765,868","1,456,688","10,152,313","436,718","10,589,031","12,045,719","-1,635,193","-521,665","283,661","-238,004","-1,873,197"
"November","713,754","744,223","1,457,977","10,257,242","447,715","10,704,957","12,162,934","-1,639,535","-523,382","292,936","-230,446","-1,869,982"
"December","742,042","711,555","1,453,597","10,368,583","467,456","10,836,040","12,289,637","-1,613,861","-433,456","280,504","-152,952","-1,766,813"
"","(a)  M2b is based on the aggregated data pertaining to the Central Bank and both Domestic Banking Units (DBUs)","","","","","(ii)   All Resident Non National Foreign Currency (RNNFC) balances are treated as foreign liabilities","","","","","","(Contd.)"
"","and Offshore Banking Units (OBUs) of Licensed Commercial Banks (LCBs) operating in Sri Lanka.","","","","","","","","","","",""
"","","","","","","(iii)  All other domestic foreign currency accounts are treated as domestic deposit liabilities","","","","","",""
"Definitional changes have been adopted in aggregating DBUs and OBUs to avoid double counting","","","","","","","","","","","",""
"","","","","","","(b)  External assets (net) of the Central Bank and commercial banks (including outward bills)","","","","","",""
"","and misclassification of assets and liabilities. The major changes are:","","","","","","","","","","",""
"","(1)  All DBU placements with OBUs are recorded as domestic assets, while all DBU borrowings","","","","","(c)   Currency and demand deposits held by the public","","","","","",""
"","from OBUs are recorded as domestic liabilities.","","","","","(d)  Time and savings deposits of the public held with commercial banks","","","","","",""
"","(2)  Foreign currency deposits with DBUs are classified on the basis of ownership rather than on the","","","","","","","","","","",""
"","","","","","","(e)  This includes NFA of the Central Bank as well as the Government’s Crown Agent’s balance reported by","","","","","",""
"","basis of currency.  Hence, the following apply:","","","","","","","","","","",""
"","","","","","","the Department of State Accounts.","","","","","",""
"","(i) One half (50 per cent) of Non Resident Foreign Currency (NRFC) deposits are treated as","","","","","","","","","","",""
"domestic deposit liabilities","","","","","","","","","","","",""
