"","","","Import Performance based on Standard International Trade Classification (SITC) (a)","","","","","","","","","",""
"","","","","","","","Imports (US$ million)","","","","","",""
"","","","","","","","","","","","Commodities","",""
"","","","","","","","","Manufactured","","","","",""
"","","","","Crude","Mineral Fuels,","","Chemicals","","Machinery","","and","",""
"","","","","","","Animal and","","Goods","","Miscellaneous","","","Total Imports"
"","Period","Food and","Beverages","Materials,","Lubricants","","and Related","","and","","Transactions","Total",""
"","","","","","","Vegetable Oils,","","Classified","","Manufactured","","","(Rs. million)"
"","","Live Animals","and Tobacco","Inedible,","and Related","","Products,","","Transport","","Not Classified","Imports",""
"","","","","","","Fats and Waxes","","Chiefly by","","Articles","","",""
"","","","","except Fuels","Materials","","n.e.s.","","Equipment","","Elsewhere in","",""
"","","","","","","","","Material","","","","",""
"","","","","","","","","","","","the SITC","",""
"2018","","2,173","161","487","4,152","185","2,372","5,896","5,233","1,112","461","22,233","3,606,644"
"2019","","1,958","147","466","3,892","111","2,211","5,829","4,292","1,012","20","19,937","3,565,028"
"2020","","2,108","94","436","2,543","195","2,192","4,474","3,204","790","19","16,055","2,974,915"
"2021","","2,275","77","585","3,743","285","2,848","5,977","3,876","953","18","20,637","4,104,218"
"2022 (b)","","2,162","101","465","4,897","80","2,392","5,114","2,278","791","10","18,291","5,737,333"
"2020","1st  Quarter","562","26","133","948","48","465","1,153","928","235","4","4,503","821,457"
"","2nd Quarter","494","26","98","295","23","511","844","728","150","3","3,172","599,729"
"","3rd  Quarter","528","22","108","662","58","566","1,200","766","194","4","4,108","760,928"
"","4th  Quarter","523","20","97","637","67","651","1,277","783","211","8","4,273","792,801"
"2021","1st  Quarter","637","19","143","977","93","644","1,334","962","229","3","5,041","978,240"
"","2nd Quarter","554","19","144","810","59","734","1,474","949","230","3","4,974","989,351"
"","3rd  Quarter","495","20","134","810","79","719","1,465","961","238","4","4,923","988,389"
"","4th  Quarter","590","20","164","1,146","55","751","1,704","1,004","256","9","5,700","1,148,238"
"2022 (b)","1st  Quarter","651","25","141","1,412","37","660","1,627","850","245","3","5,651","1,237,881"
"","2nd Quarter","475","24","113","1,172","20","525","1,302","550","196","1","4,377","1,505,533"
"","3rd  Quarter","476","27","127","1,110","8","558","1,138","433","173","6","4,057","1,466,214"
"","4th  Quarter","560","25","84","1,202","15","649","1,048","445","177","1","4,206","1,527,706"
"2021","January","201","7","40","310","33","195","421","307","75","1","1,592","303,185"
"","February","195","5","46","320","34","186","399","266","71","1","1,524","295,680"
"","March","241","6","57","347","26","263","514","390","82","…","1,926","379,375"
"","April","170","5","48","413","11","239","429","314","77","1","1,707","336,996"
"","May","162","8","43","331","17","216","506","253","71","…","1,607","320,819"
"","June","222","6","53","66","30","278","539","382","82","2","1,659","331,536"
"","July","149","4","47","256","42","253","532","347","78","2","1,710","341,981"
"","August","194","10","47","353","18","230","448","304","83","1","1,687","338,171"
"","September","151","6","40","201","19","236","485","310","78","…","1,526","308,237"
"","October","185","5","50","385","16","192","523","257","81","1","1,694","340,702"
"","November","175","7","58","319","30","214","505","361","87","8","1,765","356,205"
"","December","230","8","56","442","9","345","676","385","89","1","2,241","451,331"
"2022 (b)","January","249","8","49","430","8","247","588","294","87","…","1,959","394,747"
"","February","196","9","47","462","9","207","583","273","87","1","1,873","377,842"
"","March","207","8","45","520","20","206","457","283","72","2","1,819","465,293"
"","April","201","7","46","510","8","206","450","202","69","…","1,699","542,717"
"","May","154","6","33","461","7","158","402","172","57","…","1,451","520,987"
"","June","119","10","35","200","5","161","450","177","69","…","1,226","441,829"
"","July","130","10","46","345","2","179","358","161","56","…","1,287","464,386"
"","August","191","7","47","389","3","208","421","152","64","6","1,486","536,397"
"","September","155","11","35","376","3","172","359","119","53","…","1,284","465,431"
"","October","163","12","31","397","5","176","358","141","54","…","1,336","485,045"
"","November","209","6","30","422","7","195","359","158","59","…","1,445","524,946"
"","December","189","8","23","384","2","279","331","146","64","…","1,426","517,715"
"(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","","","","","","","","","Sources: Ceylon Petroleum Corporation",""
