"","","","US$ million","","","","","Rs. million","",""
"Item","","","","","","","","","",""
"","2018","2019","2020","2021 (b)","2022 (c)","2018","2019","2020","2021 (b)","2022 (c)"
"1. Transport Services","750","630","114","352","343","121,012","112,717","20,974","70,091","108,802"
"Credits","2,486","2,339","1,174","608","676","402,806","418,205","216,566","121,065","215,003"
"Debits","1,737","1,710","1,059","256","333","281,794","305,488","195,592","50,974","106,201"
"2. Travel","2,721","1,969","234","268","893","442,661","353,445","41,321","54,252","256,537"
"Credits","4,381","3,607","682","507","1,136","711,961","646,362","124,189","101,903","338,052"
"Debits","1,660","1,638","449","239","244","269,299","292,917","82,868","47,651","81,516"
"3
.  Telecommunications,","","","","","","","","","",""
"Computer and Information","511","539","706","1,030","936","82,724","96,321","131,147","204,825","299,696"
"Services","","","","","","","","","",""
"Credits","995","1,054","995","1,201","1,097","161,389","188,313","184,629","238,750","351,156"
"Debits","484","515","288","171","161","78,664","91,992","53,482","33,924","51,460"
"4.  Construction Services","32","32","-3","-1","-2","5,131","5,688","-633","-245","-116"
"Credits","65","67","7","10","9","10,483","12,015","1,299","1,928","3,143"
"Debits","33","35","10","11","11","5,352","6,327","1,931","2,173","3,259"
"5.  Insurance Services","33","36","-42","-17","-18","5,325","6,360","-7,863","-3,383","-6,128"
"Credits","130","137","39","20","19","21,110","24,539","7,308","4,003","5,317"
"Debits","97","102","82","37","36","15,785","18,179","15,171","7,386","11,444"
"6.  Financial Services","-205","-258","-125","-7","-5","-33,597","-46,101","-22,981","-1,341","-1,515"
"Credits","242","213","96","95","92","39,000","37,978","17,774","18,855","29,624"
"Debits","447","470","220","102","96","72,597","84,080","40,755","20,196","31,139"
"7.  Other Business Services","-34","-43","-21","-1","-1","-5,595","-7,684","-3,830","-224","-252"
"Credits","40","35","16","16","15","6,500","6,330","2,962","3,143","4,937"
"Debits","75","78","37","17","16","12,095","14,013","6,793","3,366","5,190"
"8.  Government Expenditure n.i.e.","-41","-56","-44","-38","-38","-6,429","-9,925","-8,122","-7,552","-12,090"
"Credits","35","21","26","19","18","5,633","3,798","4,887","3,673","5,767"
"Debits","75","77","70","57","56","12,062","13,723","13,010","11,225","17,857"
"Total Services","3,766","2,849","819","1,586","2,110","611,233","510,822","150,014","316,424","644,934"
"Credits","8,374","7,474","3,035","2,475","3,062","1,358,881","1,337,540","559,615","493,320","952,999"
"Debits","4,608","4,625","2,216","889","953","747,648","826,718","409,601","176,896","308,066"
"1.  Compensation of Employees","-74","-99","-96","-43","-39","-12,062","-17,687","-17,743","-8,477","-10,279"
"Credits","28","31","36","30","30","4,482","5,626","6,768","6,048","9,595"
"Debits","102","130","132","74","69","16,544","23,313","24,511","14,524","19,874"
"2
.  Investment  Income","-2,311","-2,363","-2,110","-1,916","-1,836","-377,538","-423,707","-405,319","-381,681","-607,792"
"Credits","221","220","162","86","220","35,722","39,363","29,998","16,917","74,613"
"Debits","2,532","2,583","2,271","2,002","2,055","413,261","463,070","435,318","398,598","682,406"
"Total Primary Income","-2,385","-2,462","-2,205","-1,959","-1,874","-389,601","-441,394","-423,063","-390,158","-618,071"
"Credits","249","252","198","116","249","40,204","44,989","36,766","22,965","84,209"
"Debits","2,633","2,713","2,404","2,075","2,124","429,805","486,383","459,829","413,122","702,280"
"1.  Private Transfers","6,155","5,757","6,194","5,221","3,493","998,303","1,029,122","1,148,418","1,033,494","1,158,232"
"Credits (Workers' Remittances)","7,015","6,717","7,104","5,491","3,789","1,138,124","1,200,766","1,317,007","1,087,188","1,252,504"
"Debits","860","960","910","270","296","139,821","171,644","168,589","53,694","94,272"
"2
.  Government","8","9","13","6","3","1,201","1,568","2,371","1,200","1,173"
"Credits","8","9","13","6","3","1,201","1,568","2,371","1,200","1,173"
"Debits","-","-","-","-","-","-","-","-","-","-"
"Total Secondary Income","6,163","5,766","6,207","5,228","3,496","999,504","1,030,690","1,150,789","1,034,694","1,159,404"
"Credits","7,023","6,726","7,117","5,498","3,793","1,139,324","1,202,334","1,319,377","1,088,388","1,253,677"
"Debits","860","960","910","270","296","139,821","171,644","168,589","53,694","94,272"
"","(a)  Compiled according to the Balance of Payments Manual (BPM), 6th edition of the","","","","","","","Sources: Sri Lanka Tourism Development Authority","",""
