"","Employment in Selected State Owned Industrial Enterprises","","","",""
"","","","","","Number of Employees"
"Corporation / Enterprise","2018","2019","2020","2021 (a)","2022 (b)"
"1.   
Lanka Salt Ltd","1,590","1,542","1,563","1,403","1,520"
"2.    State Timber Corporation","2,001","1,939","1,839","1,734","1,614"
"3.    National Paper Company Ltd (c)","28","30","20","23","32"
"4.    State Printing Corporation","648","599","584","551","502"
"5.    Sri Lanka Ayurvedic Drugs Corporation","322","340","316","332","317"
"6.    Ceylon Petroleum Corporation (d)","5,389","5,258","5,094","4,933","4,713"
"7.   
Lanka Mineral Sands Ltd","656","645","662","607","585"
"8.   
Lanka Phosphate Ltd","337","336","325","325","315"
"9.     Kahatagaha Graphite Lanka Ltd","137","135","124","129","123"
"10.   State Pharmaceuticals Manufacturing Corporation of Sri Lanka","214","282","283","314","323"
"Total","11,322","11,106","10,810","10,351","10,444"
"","","","","Sources: Respective Institutions",""
"(a)  Revised","","","","",""
