"","","","","","","","","","","","","2010 =100"
"","","","","","","Exports","","","","","",""
"","","Industrial Exports","","","","","","Agricultural Exports","","","","Total"
"Period","","","","","","","","","","","",""
"","","","","","","","","","","","Mineral",""
"","Textiles and","Petroleum","Rubber","","","","","Coconut","Minor","","","Exports"
"","","","","Total","Tea","","Rubber","","","Total","Exports",""
"","Garments","Products","Products","","","","","Products","Agri. Products","","",""
"2018","132.4","251.1","111.4","158.7","85.5","","26.7","132.8","162.0","92.6","99.3","137.3"
"2019","143.2","246.7","109.4","170.8","88.8","","24.0","177.6","163.0","97.7","98.2","147.2"
"2020","111.5","238.5","100.0","153.5","80.7","","29.4","168.0","173.1","90.5","68.6","132.9"
"2021","140.6","282.8","112.6","183.2","87.2","","29.3","188.1","188.4","101.1","111.4","156.9"
"2022 (b)","144.6","189.2","106.6","194.9","76.6","","29.2","193.5","240.9","93.1","114.2","163.0"
"2020      1st    Quarter","131.0","284.9","98.9","153.3","72.6","","27.0","137.1","182.4","80.1","59.7","130.0"
"2nd   Quarter","69.4","168.7","75.5","103.7","77.8","","24.5","149.6","143.5","83.1","51.9","95.7"
"3rd    Quarter","133.7","277.9","123.6","186.7","90.4","","28.8","214.9","187.2","106.4","66.9","160.6"
"4th    Quarter","111.9","222.5","101.7","170.2","82.0","","37.2","170.6","179.3","92.3","95.8","145.3"
"2021      1st    Quarter","142.2","149.6","113.1","169.1","85.6","","37.1","168.7","165.5","97.7","125.3","146.1"
"2nd   Quarter","132.6","294.8","99.8","179.6","81.6","","22.2","177.3","140.6","90.3","139.3","151.6"
"3rd    Quarter","144.3","415.2","117.9","190.7","90.5","","33.2","210.7","222.1","108.0","87.2","164.0"
"4th    Quarter","143.4","271.6","119.6","193.2","91.0","","24.5","195.5","225.4","108.3","93.9","165.9"
"2022 (b)  1st    Quarter","153.4","203.9","112.5","189.0","77.7","","41.3","191.6","212.4","93.4","94.5","158.8"
"2nd   Quarter","147.0","205.9","102.3","208.5","75.6","","23.9","205.2","249.7","92.3","91.8","172.3"
"3rd    Quarter","151.2","147.9","112.5","186.9","82.2","","22.2","199.3","273.8","98.6","79.6","158.7"
"4th    Quarter","126.9","199.0","99.0","195.2","70.8","","29.6","177.7","227.6","88.1","190.9","162.1"
"2021      January","129.1","192.8","106.7","163.8","76.2","","37.7","135.8","159.5","87.7","110.6","139.6"
"February","143.8","118.0","109.2","149.7","84.9","","25.2","172.0","137.4","91.8","116.4","130.7"
"March","153.7","137.9","123.4","193.8","95.8","","48.5","198.1","199.6","113.7","149.0","167.9"
"April","115.1","173.8","76.9","188.8","59.5","","26.9","126.2","128.5","70.6","123.9","152.7"
"May","145.9","170.7","110.9","169.0","86.8","","18.1","187.0","156.7","93.7","148.2","145.0"
"June","136.7","539.9","111.7","181.2","98.6","","21.5","218.9","136.5","106.6","145.8","157.0"
"July","150.4","532.1","110.3","184.8","93.3","","25.7","223.2","260.3","119.5","77.8","163.0"
"August","155.9","454.8","122.7","201.8","93.5","","32.5","211.1","206.0","106.4","87.9","171.3"
"September","126.6","258.6","120.8","185.4","84.8","","41.4","197.8","200.0","98.1","95.8","157.5"
"October","141.3","195.2","113.3","179.1","88.9","","26.3","212.7","250.7","106.3","63.0","155.2"
"November","139.0","329.7","125.1","200.2","94.8","","24.6","205.1","234.4","117.4","117.1","173.4"
"December","149.7","289.8","120.4","200.4","89.3","","22.6","168.7","191.2","101.2","101.8","169.0"
"2022 (b) January","154.4","255.2","106.4","203.0","71.0","","41.9","174.6","164.9","88.7","80.2","167.4"
"February","148.8","198.7","109.0","170.3","76.9","","41.9","187.6","212.7","90.1","97.7","144.7"
"March","156.9","157.9","122.2","193.5","85.3","","40.0","212.6","259.5","101.4","105.5","164.2"
"April","141.9","175.0","86.3","198.6","67.5","","25.9","164.9","240.0","80.6","96.0","162.2"
"May","140.4","147.2","98.8","196.7","73.0","","23.0","211.1","250.8","87.1","56.2","162.5"
"June","158.8","295.6","121.9","230.1","86.5","","22.8","239.6","258.3","109.3","123.2","192.3"
"July","152.5","172.1","106.1","174.2","83.5","","19.6","192.3","245.9","96.3","38.1","149.0"
"August","172.7","178.1","118.5","216.7","84.1","","22.7","210.0","296.5","103.2","93.2","181.0"
"September","128.3","93.4","113.0","170.0","79.1","","24.3","195.6","279.0","96.2","107.4","146.2"
"October","121.0","120.8","108.6","212.4","70.4","","31.6","196.6","241.9","91.3","59.6","174.9"
"November","131.3","143.9","93.9","166.6","71.0","","22.9","167.4","233.4","86.4","85.2","141.1"
"December","128.4","332.3","94.4","206.5","71.1","","34.4","169.1","207.6","86.7","427.8","170.4"
"","","","","","","","","","","","","(Contd.)"
