"","Category","2018","2019","2020","2021 (a) 2022 (b)",""
"1.  Capital Adequacy (%)","","","","","",""
"1.1","Capital Adequacy Ratio (CAR) (Regulatory Capital to Risk Weighted  Assets)","16.2","17.2","17.1","17.9","15.3"
"1.2","Core Capital Ratio (Tier 1)(Core Capital to Risk Weighted Assets)","13.1","13.7","13.6","14.4","12.3"
"1.3","Core Capital to Total Assets","7.6","7.8","7.1","6.4","5.9"
"1.4","Stage 3 Loans Including Undrawn Amounts (net of Stage 3 Impairment) to Total Capital Funds","","","40.0","33.3","44.1"
"1.5","Borrowings to Capital Funds","171.1","148.6","134.9","148.9","117.5"
"1.6","Capital to Assets Ratio","8.7","9.0","8.6","8.7","8.2"
"1.7","Leverage Ratio","","6.8","6.4","6.1","5.9"
"2.  Assets Quality (%)","","","","","",""
"2.1","Stage 3 Loans to Total Loans Ratio (Including Undrawn Amounts and Net of Stage 3 Impairment)","","","5.2","7.6","11.3"
"2.2","Stage 3 Loans to Total Loans Ratio (Excluding Undrawn Amounts)","","","","","11.1"
"2.3","Total Impairment on Loans Made against Loans and Receivables (excluding undrawn amounts)","","","4.7","5.3","8.0"
"2.4","Stage 3 Impairment Coverage (Including Undrawn Amounts)","","","41.2","46.3","45.2"
"2.5","Total Impairment Coverage (Including Undrawn Amounts)","","","4.6","5.0","7.9"
"2.6","Total Impairment on Loans Made against Total Assets","","","3.0","3.4","4.7"
"2.7","Total Loans and Receivables to Total Assets","65.2","64.9","63.9","63.8","58.4"
"2.8","Total Investments to Total Assets","22.7","23.9","28.6","29.5","30.6"
"2.9","Total Income to Total Assets","10.7","10.7","8.9","8.0","12.2"
"2.10 Net Interest Income to Total Assets","","3.4","3.4","2.9","3.3","3.9"
"2.11 Non Interest Income to Total Assets","","1.3","1.1","1.0","0.9","1.4"
"3.  Earnings and Profitability (%)","","","","","",""
"3.1","Return on Equity (ROE) - After Tax","13.2","10.3","11.5","13.4","10.2"
"3.2","Return on Assets (ROA) - Before Tax","1.8","1.4","1.4","1.4","1.0"
"3.3","Return on Assets (ROA) - After Tax","1.1","0.9","1.0","1.1","0.8"
"3.4","Interest Income to Total Income","88.2","90.2","89.1","88.6","88.3"
"3.5","Net Interest Income to Total Income","31.6","32.0","32.8","40.8","32.1"
"3.6","Non Interest Income to Total Income","11.8","9.8","10.9","11.4","11.7"
"3.7","Non Interest Expenses (Operating Expenses) to Total Income","20.2","19.7","19.4","19.8","13.8"
"3.8","Personal Expenses to Non Interest Expenses","47.8","47.8","50.7","55.1","53.3"
"3.9","Personal Expenses to Total Income","9.7","9.4","9.8","10.9","7.4"
"3.10 Impairment to Total Income","","","","7.6","11.7","19.3"
"3.11 Efficiency Ratio","","50.0","52.7","51.8","38.0","31.5"
"","3.12 Interest Margin (Net interest income to Average Assets)","3.6","3.6","3.1","3.5","4.0"
"4.  Liquidity (%)","","","","","",""
"4.1","Total Liquid Assets to Total Assets","25.7","28.9","34.1","29.7","27.3"
"4.2","Statutory Liquid Assets Ratio - Domestic Banking Unit (DBU)","27.6","31.0","37.8","33.8","29.9"
"4.3","Statutory Liquid Assets Ratio - Off-shore Banking Unit (OBU)","45.4","47.1","43.2","34.0","44.3"
"4.4","Rupee Liquidity Coverage Ratio","176.5","212.8","255.9","217.8","237.5"
"4.5","All Currency Liquidity Coverage Ratio","152.1","178.2","202.1","171.8","191.2"
"4.6","Liquid Assets to Deposits","35.7","39.5","44.8","38.8","34.7"
"4.7","Current & Savings Deposits to Total Deposits","32.0","31.4","34.5","38.0","31.2"
"4.8","Liquid Assets to Short Term Outflows","","","","","36.7"
"4.9","Deposit to Total Loans & Receivables","110.4","112.8","122.5","120.9","134.9"
"4.10 Net Stable Funding Ratio","","","130.1","136.3","135.1","140.8"
"5.  Assets / Funding Structure","","","","","",""
"5.1","Deposits (% of Total Assets)","72.0","73.2","76.0","76.5","78.8"
"5.2","Borrowings (% of Total Assets)","15.0","13.4","11.5","12.9","9.6"
"5.3","Capital Funds (% of Total Assets)","8.7","9.0","8.6","8.0","8.2"
"5.4","Other (% of Total Assets)","4.3","4.4","3.9","2.5","3.4"
"5.5","Credit to Deposits","90.6","88.7","81.6","83.3","74.1"
"5.6","Credit to Deposits and Borrowings","75.0","74.9","73.0","71.3","66.0"
"5.7","Credit to Deposits, Borrowings and Capital","68.2","67.8","64.5","65.4","60.4"
"6.  Financial Infrastructure","","","","","",""
"6.1","No. of Branches (excluding Student Savings Units)","3,577","3,608","3,616","3,622","3,630"
"6.2","No. of ATMs","5,210","5,796","6,175","6,438","6,678"
"(a) Revised","","","","Source: Central Bank of Sri Lanka","",""
