"","","","Deposits","","Advances","Difference between"
"","No. of Bank","","","","",""
"","","","","","","Deposits and Advances"
"","Union Offices","","","","",""
"End of Period","","No. of M.P.C.S.*","","Amount (Rs. mn)","Amount (Rs. mn)","(Rs. mn)"
"","(1)","(2)","","(3)","(4)","(3)-(4)=(5)"
"2013 Dec.","13","305","","13,306.3","3,237.6","10,068.8"
"2014 Dec.","13","305","","18,958.2","3,334.7","15,623.4"
"2015 Dec.","14","305","","21,321.3","3,657.4","17,664.0"
"2016 Dec.","15","304","","22,201.2","5,407.3","16,793.9"
"2017 Dec.","16","304","","24,422.6","3,386.8","21,035.8"
"2018 Dec.","16","304","","26,180.8","5,611.0","20,569.9"
"2019 Dec.","16","304","","24,422.6","3,386.8","21,035.8"
"2020 Dec","n.a.","n.a.","","n.a.","n.a.","n.a."
"2021 Dec","n.a.","n.a.","","n.a.","n.a.","n.a."
"2022 Sep (a)","16","307","","41,822.8","8,208.4","33,614.4"
"DISTRICT","","","","","",""
"Colombo","1","10","","1,223.7","606.1","617.7"
"Gampaha","1","17","","2,063.6","200.6","1,863.0"
"Kalutara","1","10","","4,606.3","297.8","4,308.5"
"Kandy","1","22","","393.3","81.5","311.8"
"Matale","-","9","","-","-","-"
"Nuwara Eliya","-","10","","-","-","-"
"Galle","1","18","","3,657.8","252.1","3,405.7"
"Matara","1","9","","1,064.6","101.5","963.1"
"Hambantota","1","7","","3,576.4","62.8","3,513.6"
"Jaffna","1","34","","13.1","3.0","10.1"
"Mannar","-","7","","-","-","-"
"Vavuniya","-","4","","-","-","-"
"Mullativu","-","6","","-","-","-"
"Killinochchi","1","9","","51.4","60.7","(9.3)"
"Batticaloa","1","15","","1.4","0.1","1.3"
"Ampara","-","16","","-","-","-"
"Trincomalee","-","10","","-","-","-"
"Kurunegala","1","21","","21,142.0","4,865.6","16,276.5"
"Puttalam","-","12","","-","-","-"
"Anuradhapura","1","17","","751.0","604.0","147.0"
"Polonnaruwa","1","9","","1,287.1","697.4","589.6"
"Badulla","1","10","","28.7","11.4","17.3"
"Monaragala","-","2","","-","-","-"
"Kegalle","1","10","","33.9","61.7","(27.8)"
"Ratnapura","1","13","","1,928.7","302.1","1,626.5"
"Total","16","307","","41,822.8","8,208.4","33,614.4"
"(a) Provisional","","","","","","Source: Co-operative Development Department"
