"","","","","","","","","Foreign Investment","","","","","Total Investment","",""
"","","","Number of Projects","","","","","","","","","","","",""
"","","","","","","","","(Rs. million)","","","","","(Rs. million)","",""
"Category","","","","","","","","","","","","","","",""
"","2018","2019","2020","2021","2022","2018","2019","2020","2021","2022","2018","2019","2020","2021","2022"
"","","","","","(b)","","","","","(b)","","","","","(b)"
"Food, Beverages and Tobacco Products","130","125","132","119","122","65,217","65,582","70,994","72,436","64,629","133,081","141,002","161,698","168,064","158,622"
"Textile, Wearing Apparel and Leather Products","272","363","338","330","341","125,172","144,889","156,300","176,713","181,972","237,608","305,536","328,636","356,986","370,853"
"Wood and Wood Products","20","19","18","18","18","14,656","16,710","18,920","20,835","20,771","19,777","18,842","22,069","23,989","24,403"
"Paper Products, Publishing and Printing","24","24","23","22","21","14,025","11,385","12,818","13,040","5,067","17,771","15,233","16,640","17,101","9,907"
"Chemical, Petroleum, Coal,","117","113","113","109","111","124,436","147,948","170,683","182,725","208,465","185,444","215,322","249,723","280,036","336,832"
"Rubber and Plastic Products","","","","","","","","","","","","","","",""
"Non-metallic Mineral Products","61","60","59","59","52","30,336","29,849","31,600","32,521","14,479","104,136","124,937","167,430","234,331","135,371"
"Fabricated Metal Products, Machinery and","","","","","","","","","","","","","","",""
"","77","78","77","77","74","31,275","33,409","34,148","35,460","37,355","54,115","68,916","71,062","73,373","72,463"
"Transport Equipment","","","","","","","","","","","","","","",""
"Manufactured Products (n.e.s.)","160","160","157","153","173","44,754","49,019","44,897","49,465","54,849","65,562","70,595","66,398","75,158","81,650"
"Services","1,093","1,062","1,026","988","1,010","1,623,498","1,724,682","1,564,795","1,675,796","1,832,522","2,553,573","2,871,529","2,833,778","3,051,357","3,285,055"
"Total","1,954","2,004","1,943","1,875","1,922","2,073,370","2,223,472","2,105,156","2,258,989","2,420,110","3,371,066","3,831,912","3,917,434","4,280,395","4,475,156"
