"","","","(Position as at 31 December 2022)","","","","","",""
"","","Loans Granted (Rs.mn)","","","Recoveries (Rs.mn)","","","Per cent of Recoveries",""
"Cultivation Season","","","","","","","","",""
"","Paddy","Other Crops","All Crops","Paddy","Other Crops","All Crops","Paddy","Other Crops","All Crops"
"2016/2017 Maha","3,533","3,372","6,905","2,995","2,392","5,387","84.76","70.93","78.01"
"2017 Yala","2,506","3,291","5,797","2,016","1,636","3,652","80.43","49.72","63.00"
"2017/2018 Maha","3,776","5,474","9,250","3,375","3,550","6,925","89.39","64.85","74.86"
"2018 Yala","2,735","4,940","7,674","1,888","2,131","4,019","69.05","43.14","52.37"
"2018/2019 Maha","5,830","9,483","15,313","4,392","4,785","9,177","75.33","50.46","59.93"
"2019 Yala","3,930","7,761","11,691","2,921","3,226","6,148","74.34","41.57","52.58"
"2019/2020 Maha","5,605","20,309","25,914","2,989","2,060","5,049","53.33","10.14","19.48"
"2020 Yala","4,096","14,646","18,742","1,355","2,774","4,128","33.08","18.94","22.03"
"2020/2021 Maha","8,603","18,586","27,189","3,475","6,211","9,686","40.39","33.42","35.62"
"2021 Season I","4,449","18,489","22,938","2,055","3,277","5,332","46.19","17.73","23.25"
"2021 Season II","4,475","15,048","19,523","1,038","2,605","3,614","23.20","17.31","18.51"
"2022 Season I (a)","7,184","17,633","24,817","2,060","5,218","7,278","28.67","29.59","29.33"
"2022 Season II (a)","5,270","19,078","24,348","1,405","3,174","4,579","26.66","16.64","18.81"
"(a) Provisional - Recovery is in progress","","","","","","","","Sources:  Bank of Ceylon",""
"","","","","","","","","Commercial Bank",""
"","","","","","","","","DFCC Bank",""
"","","","","","","","","Hatton National Bank",""
"","","","","","","","","Cargills Bank",""
"","","","","","","","","","National Development Bank"
"","","","","","","","","People’s Bank",""
"","","","","","","","","","Regional Development Bank"
"","","","","","","","","Sampath Bank",""
"","","","","","","","","","SANASA Development Bank"
"","","","","","","","","Seylan Bank",""
"","","","","","","","","Union Bank",""
