"","","","","","Exports","","","","","","","","","Prices (a)","","",""
"","","","","","","","","","","Price (F.O.B.)","","","","Colombo Market Prices (Rs./kg)","","",""
"","","","","","","","","","Value","","","","","","","",""
"Period","","Volume (kg ‘000)","","","","Value (Rs. million)","","","","","","","","","","","RSS No. 3"
"","","","","","","","","","(US$","All Rubber","","","RSS","Latex  Crepe","","Scrap","Singapore"
"","","","","","","","","","","","","","","","","Crepe","(US$/kg)"
"","","","","","","","","","million)","","","","","","","",""
"","","","","","","","","","","","","","","","","No.1X Br",""
"","Sheet","Crepe","Other","Total","Sheet","Crepe","Other","Total","","Rs./kg","US$/kg","No. 1","No. 2","No. 1X","No. 1","",""
"2018","1,368","10,055","2,559","13,982","364","3,910","815","5,088","32","363.93","2.26","281.36","273.85","321.70","313.12","210.34","1.57"
"2019","2,106","8,545","2,352","13,003","594","2,908","819","4,321","24","332.29","1.86","288.51","282.78","302.32","298.38","245.06","1.64"
"2020","4,318","7,016","4,431","15,766","1,325","2,858","1,396","5,579","30","353.84","1.91","351.46","325.70","359.04","355.90","256.65","1.73"
"2021","3,333","8,264","3,893","15,490","1,293","5,474","1,610","8,377","42","540.77","2.72","460.78","446.98","626.32","621.82","411.45","2.07"
"2022 (b)","4,232","8,663","2,243","15,138","2,103","9,129","1,511","12,742","41","841.72","2.73","595.00","550.73","903.27","881.61","495.76","1.81"
"2020  
   1st    Quarter","854","2,011","854","3,719","252","797","261","1,310","7","352.20","1.93","309.24","319.00","351.39","350.79","248.33","1.60"
"2nd   Quarter","687","1,819","680","3,186","183","766","232","1,181","6","370.57","1.97","-","-","320.22","316.83","195.22","1.36"
"3rd   Quarter","1,077","1,542","1,130","3,750","299","561","337","1,197","6","319.30","1.72","323.00","281.25","328.33","326.21","256.45","1.68"
"4th   Quarter","1,700","1,644","1,768","5,111","590","735","566","1,891","10","369.94","1.99","403.18","373.50","436.19","429.76","326.61","2.27"
"2021      1st    Quarter","1,055","2,429","1,683","5,167","397","1,377","597","2,370","12","458.74","2.36","443.11","430.00","536.24","532.58","370.78","2.34"
"2nd   Quarter","444","1,597","825","2,866","179","1,042","385","1,607","8","560.62","2.82","449.50","434.17","600.94","595.03","420.06","2.19"
"3rd   Quarter","1,310","2,183","877","4,370","523","1,528","395","2,446","12","559.77","2.79","457.83","449.50","662.83","660.01","418.99","1.85"
"4th   Quarter","524","2,055","508","3,087","194","1,526","233","1,953","10","632.75","3.14","492.67","481.50","705.25","699.64","435.98","1.91"
"2022 (b) 1st    Quarter","1,871","2,556","1,097","5,524","714","1,950","542","3,206","15","580.42","2.65","492.57","594.33","719.03","715.08","419.17","2.07"
"2nd   Quarter","1,014","1,643","422","3,078","658","1,974","353","2,985","9","969.66","2.81","722.63","639.00","1,171.94","1,160.97","588.33","2.06"
"3rd   Quarter","248","2,290","188","2,727","158","3,011","247","3,417","9","1,253.21","3.47","677.50","-","1,083.50","1,013.61","541.17","1.62"
"4th   Quarter","1,099","2,174","536","3,809","573","2,194","368","3,134","9","822.70","2.27","514.79","506.77","638.61","636.78","434.36","1.49"
