"2022 (a)    1st    Quarter","9,859","5,988","1,114","1,101","398","1,318","1,601","1,686","563","415","6","27","2,117","716","246","12","1,646","28,815"
"2nd   Quarter","15,242","5,947","1,556","2,344","759","2,362","1,299","2,976","1,136","1,438","11","20","7,499","1,270","407","90","2,759","47,116"
"3rd    Quarter","27,553","7,207","1,414","4,647","557","2,564","2,489","3,610","727","1,590","9","22","8,157","1,348","619","125","3,598","66,235"
"4th    Quarter","22,164","6,013","2,624","3,053","529","2,484","2,394","4,140","1,477","76","13","29","3,414","1,700","450","49","3,134","53,744"
"2021         January","5,105","1,699","742","318","145","316","419","505","149","…","11","2","109","214","87","14","446","10,280"
"February","3,162","1,640","1,006","526","93","297","468","488","144","…","7","7","421","246","87","7","385","8,985"
"March","3,325","2,471","1,157","404","250","653","789","646","164","3","15","5","860","441","69","28","640","11,920"
"April","1,769","1,632","643","262","112","368","539","555","77","…","3","3","681","153","49","4","394","7,242"
"May","2,667","828","513","845","166","380","346","552","138","-","1","4","655","97","93","6","427","7,720"
"June","3,583","1,831","742","703","241","376","614","565","110","…","1","4","383","110","108","20","474","9,864"
"July","5,701","1,615","483","1,201","169","802","530","794","275","126","3","5","772","274","78","19","675","13,521"
"August","4,363","1,933","423","1,097","137","446","530","709","128","208","3","7","1,486","106","75","5","416","12,073"
"September","5,035","1,513","371","482","127","377","222","592","143","67","8","5","900","329","102","2","537","10,812"
"October","6,172","1,870","312","532","133","486","368","636","354","44","6","10","1,054","271","63","1","575","12,887"
"November","4,848","3,277","365","635","286","728","1,035","810","271","211","7","6","762","538","169","2","644","14,593"
"December","4,162","3,370","224","880","156","456","418","713","120","76","3","7","567","299","121","2","591","12,165"
"2022 (a)    January","4,294","2,064","237","361","100","452","460","623","77","88","2","5","652","198","33","3","575","10,227"
"February","2,716","1,938","379","247","180","329","419","418","229","117","2","7","474","173","71","2","477","8,177"
"March","2,849","1,986","497","493","119","537","722","644","257","209","3","15","991","346","142","7","594","10,410"
"April","3,982","1,464","527","673","200","538","276","830","245","396","2","7","2,064","191","137","14","856","12,405"
"May","4,591","1,735","486","514","237","609","259","800","473","508","3","6","3,273","298","179","28","787","14,789"
"June","6,669","2,748","543","1,156","322","1,215","764","1,345","419","533","6","6","2,161","781","92","47","1,116","19,923"
"July","8,294","1,734","440","1,567","169","659","1,011","1,127","181","665","2","5","2,062","364","113","30","1,131","19,554"
"August","9,507","2,695","593","1,515","167","1,082","725","1,381","202","733","2","8","3,096","567","180","41","1,184","23,680"
"September","9,751","2,778","381","1,565","222","823","752","1,102","343","192","5","9","2,998","416","326","53","1,284","23,001"
"October","8,690","2,423","170","1,712","212","821","876","1,348","431","58","2","14","2,142","578","56","14","809","20,356"
"November","6,584","1,637","444","977","153","882","652","1,362","512","...","1","5","1,270","540","185","26","1,168","16,399"
"December","6,890","1,953","2,011","363","164","782","867","1,430","534","18","10","9","2","582","209","8","1,157","16,989"
"(a) Provisional","","","","","","","","","","","","","","","","","","Source:  Sri Lanka Customs"
