"","","","","","","","","Year-on-Year","","","","Annual Average","","","","Contribution to Annual Average","",""
"","","","","Average Index","","","","","","","","","","","","","",""
"","Base","","","","","","","Percentage Change","","","","Percentage Change","","","","Increase (%)","",""
"Index","","","","","","","","","","","","","","","","","",""
"","Weights","","","","","","","","","","","","","","","","",""
"","","2018","2019","2020","2021","2022","Dec-19 Dec-20 Dec-21 Dec-22","","","","2019","2020","2021","2022","2019","2020","2021","2022"
"All Items","100.0","125.2","129.6","137.6","147.2","221.5","6.2","4.6","14.0","59.2","3.5","6.2","7.0","50.4","100.0","100.0","100.0","100.0"
"Commodity-wise","","","","","","","","","","","","","","","","","",""
"Food and Non Alcoholic Beverages","44.0","126.8","127.6","143.1","159.2","255.6","8.6","7.5","21.5","59.3","0.7","12.2","11.2","60.6","8.2","85.8","73.2","57.2"
"Alcoholic Beverages and Tobacco","2.3","183.4","200.6","214.4","220.4","300.4","9.3","6.1","10.5","42.7","9.3","6.9","2.8","36.3","8.8","3.9","1.4","2.4"
"Clothing and Footwear","3.4","122.8","128.6","132.2","137.7","189.9","4.6","2.1","8.6","64.5","4.7","2.8","4.1","38.0","4.5","1.6","1.9","2.4"
"Housing, Water, Electricity, Gas and","","","","","","","","","","","","","","","","","",""
"","18.0","117.3","126.7","127.7","129.1","156.9","7.1","0.9","3.9","32.3","8.0","0.8","1.1","21.5","38.4","2.4","2.6","6.7"
"Other Fuels","","","","","","","","","","","","","","","","","",""
"Furnishing, Household Equipment and","","","","","","","","","","","","","","","","","",""
"","3.3","124.0","129.3","130.6","138.7","222.9","2.9","0.5","14.5","94.0","4.2","1.1","6.2","60.7","3.9","0.6","2.8","3.7"
"Routine Household Maintenance","","","","","","","","","","","","","","","","","",""
"Health","4.1","151.3","162.3","162.2","169.3","222.7","2.1","-1.0","10.0","47.2","7.3","0.0","4.3","31.6","10.1","0.0","3.0","2.9"
"Transport","9.8","112.0","116.4","119.3","127.9","229.6","2.1","5.4","6.5","103.2","4.0","2.4","7.3","79.4","9.9","3.5","8.7","13.4"
"Communication","2.3","119.7","110.3","98.9","98.9","111.9","-11.1","0.0","0.0","36.3","-7.9","-10.3","0.0","13.1","-4.9","-3.3","0.0","0.4"
"Recreation and Culture","1.6","115.7","123.3","124.9","126.4","170.6","4.4","0.5","3.4","66.7","6.6","1.3","1.2","34.9","2.7","0.3","0.3","0.9"
"Education","2.8","127.0","137.1","143.7","144.6","178.1","8.6","3.1","1.7","35.9","8.0","4.8","0.6","23.2","6.4","2.3","0.3","1.3"
"Restaurants and Hotels","3.9","114.6","119.1","122.0","131.9","221.5","1.5","3.5","26.2","69.5","3.9","2.4","8.1","67.9","4.0","1.4","4.0","4.7"
"Miscellaneous Goods and Services","4.5","133.8","141.5","144.2","148.3","211.3","3.4","2.4","6.4","74.3","5.7","1.9","2.8","42.5","7.9","1.6","1.9","3.8"
