"","","","FDI inflows","","","","","Stock Position","",""
"Country","","","","","","","","","",""
"","2018","2019","2020","2021 (a)","2022 (b)","2018","2019","2020","2021 (a)","2022 (b)"
"China","872","46","15","23","6","2,128","2,173","2,188","2,215","2,214"
"Singapore","145","117","35","9","111","1,030","1,145","1,406","4,031","2,115"
"India","177","120","77","146","238","1,563","1,688","1,803","1,924","1,951"
"Hong Kong","19","78","24","47","13","951","1,031","1,067","1,108","1,122"
"Netherlands","56","16","33","100","85","1,774","1,593","1,497","1,356","859"
"Malaysia","23","45","35","28","-110","967","1,083","1,044","927","699"
"United Kingdom","64","48","33","46","102","662","686","746","608","692"
"United Arab Emirates","50","20","12","2","3","368","397","418","445","425"
"Mauritius","109","-2","12","12","117","443","441","447","507","583"
"British Virgin Islands","24","8","7","7","23","365","382","414","443","386"
"Canada","13","89","12","24","76","230","318","325","278","340"
"Japan","-64","-4","3","17","16","234","238","258","335","335"
"Italy","-12","32","42","46","45","168","200","243","288","332"
"Switzerland","22","6","7","6","20","543","456","436","451","296"
"Australia","21","26","23","17","8","157","185","212","224","230"
"Sweden","32","15","8","8","22","112","127","141","144","166"
"Germany","6","5","2","3","10","79","90","99","133","109"
"Korea","6","1","…","2","7","83","84","86","86","93"
"Belgium","7","10","3","5","4","61","72","81","79","83"
"Taiwan","5","6","6","5","4","21","27","34","38","43"
"Norway","…","1","…","…","1","26","27","28","28","29"
"France","1","…","…","1","2","21","22","23","23","26"
"Thailand","-2","…","-","-","-","21","21","21","21","21"
"United States of America","18","20","13","18","33","287","258","274","329","333"
"Other","23","39","32","21","63","281","323","365","361","397"
"Total","1,614","743","434","592","898","12,575","13,065","13,655","16,384","13,877"
"(a) Revised","","","","","","","","","Sources: Board of Investment of Sri Lanka",""
