"","","","","","","","","","Liabilities","","","","","",""
"","","","Capital Account","","","Currency Issued","","","","","Deposits","","","",""
"","","","","","","","","","","","","International","","",""
"","","","","","","","","Securities","","Government","","Organisations,","","","Other"
"","End of Period","","","","","","","","","","","","","",""
"","","","","","Notes","Coins","","","","","","","","",""
"","","","","","","","","Outstanding","","Agencies","Commercial","Foreign","","","Liabilities"
"","","Capital","Surplus","Total","in","in","Total","","Government","","","","Others","Total",""
"","","","","","","","","(c)","","and","Banks","Governments and","","","and"
"","","","","","Circulation","Circulation","","","","","","","","",""
"","","","","","","","","","","Institutions","","Foreign Banking","","","Accounts"
"","","","","","","","","","","","","Institutions","","",""
"2018","","50,000","0","50,000","627,120","13,822","640,943","0","301","48","320,106","652,080","18","972,553","253,943"
"2019","","50,000","0","50,000","663,139","14,828","677,967","0","444","56","254,582","613,813","8","868,902","322,548"
"2020","","50,000","0","50,000","819,298","15,509","834,808","0","1,430","30","129,602","857,447","9","988,519","548,271"
"2021","","50,000","0","50,000","988,628","16,472","1,005,099","0","1,387","5","300,704","1,132,139","9","1,434,244","556,935"
"2022","","50,000","0","50,000","1,009,094","17,474","1,026,567","0","210","12","322,810","2,604,975","12","2,928,018","505,762"
"2021","January","50,000","0","50,000","829,204","15,564","844,768","0","1,386","30","131,099","892,972","13","1,025,501","483,978"
"","February","50,000","0","50,000","837,145","15,639","852,784","0","563","41","125,264","729,787","17","855,672","528,784"
"","March","50,000","0","50,000","884,787","15,831","900,618","0","1,044","41","127,940","621,865","11","750,901","515,596"
"","April","50,000","0","50,000","895,143","15,939","911,082","0","860","36","120,026","672,442","7","793,372","495,857"
"","May","50,000","0","50,000","904,373","15,962","920,335","0","845","32","115,643","704,404","7","820,930","485,527"
"","June","50,000","0","50,000","934,100","15,983","950,083","0","827","30","114,951","625,868","17","741,693","539,440"
"","July","50,000","0","50,000","926,757","16,047","942,804","0","1,027","29","121,033","742,308","238","864,635","466,905"
"","August","50,000","0","50,000","951,038","16,114","967,151","0","994","29","122,085","956,150","7","1,079,265","459,732"
"","September","50,000","0","50,000","980,219","16,161","996,380","0","1,126","32","299,544","798,080","6","1,098,787","472,644"
"","October","50,000","0","50,000","971,326","16,247","987,573","0","1,393","37","298,831","829,238","9","1,129,508","536,342"
"","November","50,000","0","50,000","953,027","16,367","969,394","0","1,307","31","318,378","805,744","8","1,125,467","552,198"
"","December","50,000","0","50,000","988,628","16,472","1,005,099","0","1,387","5","300,704","1,132,139","9","1,434,244","556,935"
"2022","January","50,000","0","50,000","1,008,735","16,567","1,025,302","0","759","3","312,184","1,259,326","7","1,572,280","561,482"
"","February","50,000","0","50,000","1,013,005","16,668","1,029,673","0","695","28","294,533","1,309,158","10","1,604,424","483,198"
"","March","50,000","0","50,000","1,082,406","16,918","1,099,324","0","1,175","19","287,356","1,992,921","22","2,281,494","199,056"
"","April","50,000","0","50,000","1,153,678","16,999","1,170,677","0","1,063","20","311,108","2,330,074","8","2,642,273","61,639"
"","May","50,000","0","50,000","1,138,653","17,058","1,155,711","0","978","28","259,111","2,492,194","5","2,752,316","54,013"
"","June","50,000","0","50,000","1,097,639","17,138","1,114,776","0","886","23","337,797","2,543,750","16","2,882,472","134,479"
"","July","50,000","0","50,000","1,107,176","17,189","1,124,365","0","992","20","312,063","2,598,706","15","2,911,796","229,401"
"","August","50,000","0","50,000","1,062,474","17,263","1,079,737","0","616","55","306,456","2,570,377","7","2,877,510","361,782"
"","September","50,000","0","50,000","1,026,583","17,335","1,043,919","0","686","15","334,645","2,555,253","98","2,890,698","381,491"
"","October","50,000","0","50,000","1,008,645","17,387","1,026,032","0","433","15","315,634","2,580,261","14","2,896,357","416,616"
"","November","50,000","0","50,000","988,352","17,426","1,005,778","0","252","12","312,703","2,599,279","18","2,912,264","451,997"
"","December","50,000","0","50,000","1,009,094","17,474","1,026,567","0","210","12","322,810","2,604,975","12","2,928,018","505,762"
"","(c) Central Bank’s own securities issued under Section 91(1)(b) of the Monetary Law Act","","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
