"","","","","","","","","","","","","","","2010=100"
"","","","","","","","Imports","","","","","","",""
"","","Consumer Goods","","","","","Intermediate Goods","","","","Investment Goods","","",""
"","","","","","","","","","","","","","","Total"
"Period","","Non-Food","","","","","","","","Machinery","","","","Imports"
"","Food and","","","","Textiles and","","Chemical","Wheat and","","","Transport","Building","",""
"","","Consumer","Total","Fuel","","Fertiliser","","","Total","and","","","Total",""
"","Beverages","","","","Textile Articles","","Products","Maize","","","Equipment","Materials","",""
"","","Goods","","","","","","","","Equipment","","","",""
"2018","173.6","420.1","288.3","196.1","227.5","157.2","249.9","202.1","222.8","267.3","161.3","266.6","244.3","237.9"
"2019","170.6","347.5","252.9","202.4","254.4","145.7","252.8","206.2","223.4","294.5","159.0","290.3","264.2","235.2"
"2020","192.9","263.1","225.6","136.6","211.4","177.6","262.4","237.8","184.7","266.5","96.8","206.5","211.9","196.2"
"2021","221.1","333.6","273.4","216.3","298.3","115.7","363.2","277.7","269.0","369.5","118.5","267.5","285.0","270.7"
"2022 (b)","335.8","284.2","311.8","451.3","473.5","355.4","522.9","323.5","432.3","400.4","58.5","304.2","297.9","378.5"
"2020      1st    Quarter","208.3","302.3","252.0","201.2","221.7","69.5","236.5","196.1","204.2","276.0","126.5","231.2","230.3","216.7"
"2nd   Quarter","182.7","264.5","220.8","65.0","163.8","226.1","242.3","191.9","134.7","208.4","128.1","163.2","177.5","158.2"
"3rd    Quarter","179.2","240.9","207.9","142.6","217.3","87.4","276.2","329.5","196.1","289.9","55.4","215.0","217.0","200.8"
"4th    Quarter","201.3","244.8","221.6","137.6","242.9","327.4","294.6","233.7","203.9","291.7","77.1","216.5","222.9","209.2"
"2021  
   1st    Quarter","262.0","293.6","276.7","220.5","269.3","100.5","362.5","242.7","255.1","351.7","93.8","237.0","261.7","258.1"
"2nd   Quarter","218.0","308.7","260.2","187.1","288.3","182.2","396.6","241.7","258.7","358.6","115.0","272.4","280.4","261.0"
"3rd    Quarter","186.2","389.2","280.7","189.1","296.4","20.4","333.0","285.8","250.7","362.7","140.3","258.4","284.0","260.8"
"4th    Quarter","218.1","342.9","276.2","268.6","339.2","159.6","360.8","340.5","311.5","405.1","125.0","302.2","314.1","303.0"
"2022 (b) 1st    Quarter","300.1","284.9","293.0","364.0","372.7","76.0","397.7","237.1","348.0","403.3","82.0","320.5","309.4","326.6"
"2nd   Quarter","315.2","259.9","289.5","466.1","544.1","117.2","582.9","250.2","460.6","443.2","73.8","321.4","327.3","397.2"
"3rd    Quarter","358.5","272.8","318.6","466.9","509.9","311.2","592.1","251.6","451.0","372.2","35.6","294.5","276.4","386.9"
"4th    Quarter","369.3","319.3","346.0","508.2","467.4","917.1","519.0","554.9","469.6","382.7","42.5","280.3","278.7","403.1"
"2021      January","280.9","284.0","282.4","206.0","264.3","39.8","342.6","52.3","229.8","327.5","87.2","215.8","242.2","240.0"
"February","205.2","252.1","227.0","216.9","253.6","120.0","306.5","430.9","242.1","298.5","71.5","223.5","227.0","234.0"
"March","299.8","344.8","320.7","238.7","290.0","141.6","438.5","244.9","293.5","429.2","122.7","271.6","315.9","300.3"
"April","195.7","282.2","235.9","284.7","264.6","412.2","362.9","211.1","279.9","357.1","94.9","250.2","268.5","266.8"
"May","193.8","243.9","217.1","230.3","276.0","114.7","411.2","165.9","275.1","290.2","83.3","260.7","236.9","253.9"
"June","264.6","400.0","327.6","46.2","324.4","19.6","415.6","348.2","221.1","428.6","166.9","306.3","335.8","262.4"
