"Country","","","Rs. million","","","","","US$ million","",""
"","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)"
"1. European Union (b)","333,686","384,872","323,144","296,385","535,302","2,053","2,153","1,748","1,490","1,654"
"Austria","2,932","3,011","1,741","2,254","2,759","18","17","9","11","9"
"Belgium-Luxembourg","34,788","40,820","35,089","39,679","59,457","214","228","189","200","183"
"Czech Republic","1,162","1,919","1,878","3,092","5,144","7","11","10","16","16"
"France","10,338","12,133","13,414","17,399","34,060","64","68","72","87","105"
"Germany","43,001","55,578","45,760","61,257","110,301","265","311","247","308","340"
"Ireland, Republic of","2,550","8,010","4,372","6,489","16,836","16","45","24","33","52"
"Italy","75,259","74,465","66,662","86,437","166,067","463","417","359","435","512"
"Netherlands","21,125","31,491","27,966","46,911","80,907","130","176","151","236","249"
"Poland","1,497","4,240","4,071","5,807","5,887","9","24","22","29","18"
"Portugal","560","723","899","1,050","2,574","3","4","5","5","8"
"Slovak Republic","4,544","4,370","3,750","4,783","11,311","28","24","20","24","35"
"Spain","3,774","3,935","3,687","5,136","13,529","23","22","20","26","42"
"Sweden","9,857","7,750","8,127","14,064","22,690","61","43","44","71","70"
"United Kingdom (b)","119,771","133,560","103,947","","","737","747","560","",""
"Other","2,526","2,867","1,781","2,028","3,780","15","16","16","10","16"
"2.  United States of America","370,152","418,216","304,743","414,377","739,123","2,269","2,338","1,649","2,083","2,300"
"3.  United Kingdom (b)","","","","131,312","224,934","","","","660","693"
"4.  Other Countries","103,949","127,717","100,118","142,866","271,249","639","714","542","718","836"
"Australia","10,385","13,495","11,117","20,160","34,231","64","75","60","101","105"
"Canada","17,002","24,451","21,800","35,565","78,697","105","137","118","179","242"
"China","8,601","12,047","11,569","13,565","22,000","53","67","62","68","68"
"India","12,598","11,510","6,739","9,313","19,871","78","64","36","47","61"
"Japan","8,730","10,638","8,377","7,601","11,325","54","60","45","38","35"
"Other","46,633","55,575","40,516","56,667","105,126","286","311","221","285","324"
"Total","807,787","930,805","728,005","984,941","1,770,608","4,961","5,206","3,939","4,952","5,483"
"(a)  Provisional","","","","","","","","","Source: Sri Lanka Customs",""
