"","Current and Capital Account","","","","","","","","","","",""
"","","","","","US$ million","","","","","","",""
"","","2021 (a)","","","2022 (b)","","","Trade Balance","","","",""
"Item","","","","","","","","","","","",""
"","Credit Debit","","Net","Credit Debit","","Net","","","","","",""
"","","","","","","","","The  lowest  merchandise  trade  deficit  since","","","",""
"Goods and Services","14,974","21,526","-6,552","16,169","19,244","-3,075","","","","","",""
"","","","","","","","","2010 was recorded in 2022, contributing mainly","","","",""
"Goods","12,499","20,637","-8,139","13,106","18,291","-5,185","","","","","",""
"","","","","","","","","","","","",""
"General Merchandise","12,499","20,636","-8,138","13,106","18,289","-5,183","","to the decline in the current account deficit for","","","",""
"Non-monetary Gold","-","1","-1","-","2","-2","","","","","",""
"","","","","","","","","2022. This reduction in the trade deficit to US dollars","","","",""
"Services","2,475","889","1,586","3,062","953","2,110","","","","","",""
"Transport","608","256","352","676","333","343","","5,185 million in 2022 from US dollars 8,139 million","","","",""
"Sea Transport","450","150","300","410","137","272","","","","","",""
"","","","","","","","","in  2021  was  due  to  both  the  significant  decrease","","","",""
"Freight","450","150","300","410","137","272","","","","","",""
"Air Transport","158","106","52","266","195","71","","in  expenditure  on  merchandise  imports  and  the","","","",""
"Passenger","108","89","19","221","180","41","","","","","",""
"","","","","","","","","notable  growth","in  earnings","","from  merchandise",""
"Freight","50","17","33","46","15","30","","","","","",""
"","","","","","","","","","","","",""
"Travel (c)","507","239","268","1,136","244","893","","exports.  The  decline  in  import  expenditure  during","","","",""
"Construction","10","11","-1","9","11","-2","","","","","",""
"Insurance and Pension Services","20","37","-17","19","36","-18","","2022 was a result of multiple factors, including the","","","",""
"Financial Services","95","102","-7","92","96","-5","","","","","",""
"","","","","","","","","significant forex liquidity constraints in the domestic","","","",""
"Telecommunication and","","","","","","","","","","","",""
"","1,201","171","1,030","1,097","161","936","","","","","",""
"Computer Services","","","","","","","","","","","",""
"","","","","","","","","forex  market;  impact  of  the  sharp  depreciation  of","","","",""
"Telecommunications","32","31","2","31","28","3","","","","","",""
"Computer Services","1,168","140","1,028","1,066","133","933","","the Sri Lanka rupee against the US dollar; subdued","","","",""
"Other Business Services","16","17","-1","15","16","-1","","","","","",""
"Government Goods and Services","","","","","","","","activity  and  aggregate  demand  conditions  amidst","","","",""
"","19","57","-38","18","56","-38","","","","","",""
"n.i.e.","","","","","","","","","","","",""
"","","","","","","","","the  large  decline  in  credit  to  the  private  sector,","","","",""
"Primary Income","116","2,075","-1,959","249","2,124","-1,874","","","","","",""
"Compensation of Employees","30","74","-43","30","69","-39","","reflecting  the  high  interest  rates  and  deterioration","","","",""
"Investment Income","86","2,002","-1,916","220","2,055","-1,836","","","","","",""
"","","","","","","","","of real income amidst the acceleration of inflation;","","","",""
"Direct Investment","16","567","-551","15","532","-517","","","","","",""
"Dividends","12","278","-266","12","418","-407","","and  administrative  measures  to  prioritise  imports","","","",""
"Reinvested Earnings","4","289","-285","3","114","-111","","","","","",""
"","","","","","","","due","to  BOP  pressures.  The  notable  growth","","","","in"
"Portfolio Investment","-","830","-830","-","784","-784","","","","","",""
"","","","","","","","","","","","",""
"Equity","-","25","-25","-","29","-29","","export  earnings  was  supported  by  the  significant","","","",""
"Interest","-","805","-805","-","755","-755","","","","","",""
"Short Term","-","...","...","-","1","-1","","depreciation  of  the  exchange  rate  that  increased","","","","5"
"Long Term","-","805","-805","-","754","-754","","","","","",""
"","","","","","","","","","","","",""
"Other Investment","43","605","-562","200","738","-538","rupee","income","for","exporters;","prioritisation","of"
"Reserve Assets","27","-","27","5","-","5","the","import  of","inputs","for  export","industries;  high",""
"","","","","","","","","","","","",""
"Secondary Income","5,498","270","5,228","3,793","296","3,496","","commodity  prices","in","","the  global  market;  high",""
"General Government","6","-","6","3","-","3","","","","","",""
"Workers’ Remittances","5,491","270","5,221","3,789","296","3,493","","demand for major export items, such as garments","","","",""
"Current Account","20,587","23,871","-3,284","20,211","21,664","-1,453","","during the first half of the year; and administrative","","","",""
"Capital Account","50","24","25","38","19","19","","","","","",""
"Capital Transfers","50","24","25","38","19","19","","","","Figure 5.3","",""
"","","","","","","","","","","","",""
"General Government","11","-","11","6","-","6","","Exports, Imports and Trade Deficit (US$ billion)","","","",""
"Corporations and Households","38","24","14","32","19","13","","","","","",""
"","","","","","","","22.2","","","","",""
"Current and Capital Account","20,637","23,896","-3,259","20,249","21,682","-1,433","","","","","20.6",""
"","","","","","","","","","19.9","","",""
"","(a)  Revised                                                          Source: Central Bank of Sri Lanka","","","","","","","","","","18.3",""
"(b)  Provisional","","","","","","","","","","16.1","",""
