"","","","","","","",""
"Name 
of the 
Company","Total 
Insured 
Value
(Rs. Mn)","","","No. of 
Depositors 
paid","Compen","Compensation 
Paid as a",""
"","","","","","sation paid","",""
"","","","","","(Rs. Mn)","percentage of 
Total Insured 
Value",""
"","","","","","","",""
"Central","","","","","","",""
"Investments","","","","","","",""
"","2,465.66","","","3,497","1,982.76","80.41%",""
"and Finance","","","","","","",""
"PLC","","","","","","",""
"The Standard","","","","","","",""
"Credit","","","","","","",""
"Finance 
Limited","1,667.84","","","2,536","1,311.24","78.62%",""
"TKS Finance","","","","","","",""
"Limited","1,190.74","","","1,876","1,017.37","85.44%",""
"","","","","","","",""
"The Finance","","","","","","",""
"Company","14,735.82","","","35,343","12,573.62","85.33%",""
"PLC","","","","","","",""
"ETI Finance","","","","","","",""
"Ltd","13,915.89","","","26,782","12,565.68","90.30%",""
"Swarnamahal","1,253.27","","","2,607","1,048.57","83.67%",""
"Financial","","","","","","",""
"Services PLC","","","","","","",""
"Total","35,229.22","","","72,641","30,499.24","86.57%",""
"","","","","","","",""
