"","","","","","","","","","","","","",""
"Special Permissions granted under the FEA
Purpose","","","","","","","","","","","","","Value in 
USD"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","approvals","mn",""
"","","","","","","","","","","","","",""
"Resident Companies to issue bank/","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","corporate guarantees in favour of","","","","","","","","","","2","29.1",""
"","","","","","","","","","","","","",""
"","residents outside Sri Lanka","","","","","","","","","","","",""
"Opening of Special Foreign Currency 
Accounts","","","","","","","","","","","29","N/A*",""
"","","","","","","","","","","","","",""
"Authorised Dealers/Resident Companies 
to process certain miscellaneous foreign","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"exchange transactions that are not","","","","","","","","","","","101","N/A*",""
"","","","","","","","","","","","","",""
"covered by the general permissions","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"granted under the FEA","","","","","","","","","","","","",""
