"Source of 
Funds","","Name","","","","","","","Objective","","","","","","","","","","","","","","","","","","","","","","","","Type of the","","Release of 
"","","Lanka1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Next 6 
months-8.50","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","STaRR1","","","","","","","Provide concessionary credit facilities for the smallholder","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","farmers involved in STaRR Project, who experienced delays","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","in income generation from replanted and new planted tea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","and rubber plantations, by supporting them to establish","","","","","","","","","","","","","","","","","","","","","","","Interest Subsidy","","37.80","","","9.0","","","","","",""
"","","","","","","","","","","a self-employment or a short term income generating 
activity until such time the income is generated from their","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","replanted or new planted plantations.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Saubagya Loan Scheme","","","","","","","","Start up or expand any MSME or any MSME affected by","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","7,706.6","","","9.00","","","","","",""
"","","","","","","","","","a disaster.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Refinance Scheme for COVID19","","","","","","","","Fulfill the working capital requirements and setting the 
statutory obligations of State Owned Enterprises (SOEs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","affected SOEs – SCRF Ph IV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","-","","","4.00","","","","","",""
"","","","","","","","","","Develop the domestic agriculture sector and to promote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<Rs.1mn -","4.00","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DAD-PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","337.11","","","",">Rs.1mn to","","","","",""
"","","","","","","","","","agriculture exports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rs.25 mn - 
5.00","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central Bank","Saubagya COVID-19 Renaissance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Funded","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","677.5","","","","4.00","","","","",""
"","Facility (SCRF) Phase I","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SCRF-Phase II","","","","","","","","","Support the economic recovery efforts of the businesses","","","","","","","","Refinance
-","","","","","","","","","","","","","","","","","","","","","4.00","","","","",""
"","","","","","","","","","","and individuals negatively affected by the COVID-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","pandemic","","","","","","","","","","","","","","","","","","","","","","","Interest Subsidy","","","","","","","","","","",""
"","","SCRF-Phase III","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","& Credit 
Guarantee","","-","","","","4.00","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","Provide credit guarantee to the Participating Financial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Credit Guarantee Scheme for the","","","","","","","Institutions (PFIs) who provide loans to the eligible","","","","","","","","","","","","","","","","","","","","","","","","Credit","","-","","","","Prevailing","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MSME Rice Mill Owners in Sri Lanka2","","","","","","","borrowers under the Scheme for the purpose of","","","","","","","","","","","","","","","","","","","","","","","","Guarantee","","","","","","market rate","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","purchasing paddy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Donor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAPP - 4P Agribusiness Loan Scheme3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.78","","","","6.50","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Funded","SAPP - 4P Youth Loan Scheme3","","","","","","","","Increase the production, productivity, quality, and value","","","","","","","","","","","","","","","","","","","","","","","","Refinance","","45.79","","","","6.50","","","","",""
"","","","","","","","","","addition of agriculture produce","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAPP - FI Bulk Loan3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178.84","","","","6.50","","","","",""
"Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1 PFIs own funds and Interest Subsidy by the Government
2 Central Bank - Credit Guarantee PFIs - Loan Financing
3 International Fund for Agriculture Development (IFAD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
