"Major Legislative Enactments of 2021","","Part IV"
"Head   328 
Department of Manpower and Employment","",""
"Programme 01 
Operational Activities","447,400,000","6,500,000"
"Programme 02  
Development Activities","-","26,300,000"
"State Ministry of  Rural and School Sports Infrastructure Improvement","",""
"Recurrent 
   696,900,000","",""
"Capital 
1,169,970,000","",""
"Made up as follows :-","",""
"Head   402 
State Minister of Rural and School Sports Infrastructure Improvement","",""
"Programme 01 
Operational Activities","561,165,000","178,970,000"
"Programme 02  
Development Activities","135,735,000","991,000,000"
"Ministry of  of Irrigation","",""
"Recurrent 
  3,605,000,000","",""
"Capital 
64,242,000,000","",""
"Made up as follows :-","",""
"Head   198 
Minister of Irrigation","",""
"Programme 01 
Operational Activities","189,000,000","47,000,000"
"Programme 02  
Development Activities","173,000,000","54,607,000,000"
"Head   282 
Department of Irrigation","",""
"Programme 01 
Operational Activities","742,000,000","40,000,000"
"Programme 02  
Development Activities","2,501,000,000","9,548,000,000"
"","State Ministry of Canals and Common Infrastructure Development in  Settlements  in Mahaweli Zones",""
"Recurrent 
2,965,000,000","",""
"Capital 
2,995,000,000","",""
"Made up as follows :-","",""
"Head    428 
State Minister of Canals and Common Infrastructure","",""
"Development in  Settlements  in Mahaweli Zones","",""
"Programme 01 
Operational Activities","65,000,000","4,000,000"
"Programme 02  
Development Activities","2,900,000,000","2,991,000,000"
"","State Ministry of Tanks, Reservoirs and Irrigation Development Related to Rural Paddy Fields",""
"Recurrent 
     77,000,000","",""
"Capital 
3,000,000,000","",""
"Made up as follows :-","",""
"Head   429 
State Minister of  Tanks, Reservoirs and Irrigation","",""
"Development Related to Rural Paddy Fields","",""
"Programme 01 
Operational Activities","77,000,000","7,000,000"
"Programme 02  
Development Activities","-","2,993,000,000"
"Total","1,840,502,325,000","955,944,233,000"
