"","","Ref. No.","Page"
"59","Directions No. 10 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","126"
"","Directions issued to Authorised Dealers on Loans and Advances to Sri Lankans","",""
"","Employed Abroad (other than emigrants)","",""
"60","Directions No. 11 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","129"
"","Directions issued to Authorised Dealers on Loans to Sri Lankans, Resident","",""
"","Outside Sri Lanka on Permanent Residency Visa (PR) in another Country and","",""
"","Dual Citizens","",""
"61","Directions No. 12 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","132"
"","Directions issued to Authorised Dealers and Primary Dealers Appointed as","",""
"","Designated Agents for Sri Lanka Development Bonds","",""
"62","Directions No. 13 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","132"
"","Directions issued to Authorised Dealers on Sales of foreign exchange (Form 1)","",""
"","and Purchases of foreign exchange (Form 2)","",""
"63","Directions No. 14 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","136"
"","Directions issued to Authorised Dealers on Outward Investment Accounts","",""
"64","Directions No. 15 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","142"
"","Directions issued to Authorised Dealers on Inward Investment Accounts","",""
"65","Directions No. 16 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","147"
"","Directions issued to Authorised Dealers on Capital Transactions Rupee Accounts","",""
"66","Directions No. 17 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","152"
"","Directions issued to Authorised Dealers on Emigrant’s Remittable Income","",""
"","Accounts","",""
"67","Directions No. 18 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","155"
"","Directions issued to Authorised Dealers on Non Resident Rupee Accounts","",""
"68","Directions No. 19 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","158"
"","Directions issued to Authorised Dealers on External Commercial Borrowing","",""
"","Accounts","",""
"69","Directions No. 20 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","160"
"","Directions issued to Authorised Dealers on issuance and renewal of guarantees","",""
"","in respect of current and capital transaction","",""
"70","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2220/69","163"
"","No. 2220/69 – Friday, March 26, 2021","",""
"71","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2222/37","163"
"","No. 2222/37 – Wednesday, April 07, 2021","",""
"72","Directions No. 21 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","164"
"","Directions issued to Authorised Dealers on the Special Deposit Accounts","",""
"73","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2222/60","166"
"","No. 2222/60 – Friday, April 09, 2021","",""
"74","Directions No. 22 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","166"
"","Directions issued to Hotels registered with the Sri Lanka Tourism Development","",""
"","Authority (SLTDA)","",""
"75","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2229/5","168"
"","No. 2229/5 – Tuesday, May 25, 2021","",""
"76","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2229/9","168"
"","No. 2229/9 - Friday, May 28, 2021","",""
"77","Directions No. 23 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","169"
"","Directions issued to Authorised Dealers on Diplomatic Foreign Currency","",""
"","Accounts (DFCAs) and Diplomatic Rupee Accounts (DRAs)","",""
