"","Pension","Pension","Pension","Pension","Widowers’ and","","Scheme",""
"","Scheme","Scheme-New","Scheme","Scheme","Orphans’Pension","","",""
"","","","","","Scheme - New","","",""
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Investment in Government","","","","","","","",""
"","26,570,667","5,287,728","5,537,069","2,383,033","1,224,677","310,153","2,806,478","44,119,805"
"Securities","","","","","","","",""
"Investment in Reverse Repo","1,568,583","75,086","427,511","50,582","13,509","-","224,262","2,359,533"
"Investment in Debentures","820,495","219,709","342,517","56,934","16,850","5,094","70,832","1,532,431"
"Investment in Fixed Deposits","3,454,948","52,207","1,193,074","193,479","869","10,071","410,404","5,315,052"
"Balances Remaining in","","","","","","","",""
"","2,413","1,352","1,848","999","981","-","-","7,593"
"Current Accounts","","","","","","","",""
"Total Plan Assets/Investments as","","","","","","","",""
"","32,417,106","5,636,082","7,502,019","2,685,027","1,256,886","325,318","3,511,976","53,334,414"
"at 31 December 2021","","","","","","","",""
