"The Central Bank of Sri Lanka has decided to restrict the business hours of the LankaSettle system on 30.04.2021 as per the","",""
"following operating schedule.","",""
"TIME","EVENT","ACTIvITIES	/TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","",""
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"0800 hrs.","ILF/Auto reversal of Repos and","Grant ILF and settle second leg of Repos of OMO and SDF"
"","Standing Deposit Facility (SDF)",""
"0815 hrs.","Maturities/Interest payments, start of","Settlement  of  maturity  proceeds/coupon  payments  of  securities,"
"","the day (SOD) file and maturities of","effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL"
"","CBSL Securities","Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS)","SLIPS Cycle 1/Main Clearing of CITS."
"","Batch from LankaClear",""
"0845 hrs.","Primary Auction Issuance (when","Issuance of Primary Auction (when applicable)"
"","applicable)",""
"0845 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycle 1"
"1100 hrs.","MLNS Batch from LankaClear","CAS Cycle 2"
"1100 hrs.","Reversal of Reverse Repos and","Settlement of second leg of Reverse Repos under OMO and SLF."
"","Standing Lending Facility (SLF)",""
"1115 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CPS Cycle 2"
"1300 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 2"
"1300 hrs.","MLNS Batch from LankaClear","CAS Cycle 3"
"1315 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 3"
"1315 hrs.","MLNS Batch from LankaClear","CPS Cycle 3"
"1400 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing."
"1415 hrs.","Primary cut-off time for third party","Close	for	new	transactions	(for	T	+	0)	in	favour	of	third	parties,"
"","transactions","except for bank-to-bank (MT2XX series)."
"1430 hrs.","Cut-off time for standing facilities","SLF and SDF windows are closed for Participants at 1430 hrs."
"1435 hrs..","Cut-off time for Participant managed","Participants should not initiate ILF Repos after 1435 hrs."
"","ILF Repo creation",""
"1445 hrs.","ILF Repayment","Repayment of ILF."
"1500 hrs.","Final Cut-off Time","No  further  inputs  are  accepted.    With  the  closure  of  system"
"","Closure of System for business","for  business,  queue/Settlement  processing  will  cease  and  any"
"","","transactions still in queues will be rejected by the system."
"1500 hrs.    to","EOD processing","End-of-day 
(EOD)  processes  e.g.  generate 
reports/GL  export"
"1515 hrs.","","(EOD)  file,  database  maintenance  for  billing/statement  printing"
"","","purposes."
