"","","","of the","Accounts of","of the","of the"
"","","","Government","activities of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"1","His Excellency the President","00101  Advances to Public Officers","40,000,000","18,000,000","125,000,000","—"
"2","Office of the Prime Minister","00201  Advances to Public Officers","25,000,000","12,000,000","80,000,000","—"
"3","Judges of the Superior Courts","00401  Advances to Public Officers","1,000,000","300,000","3,000,000","—"
"4","Office of the Cabinet of Ministers","00501  Advances to Public Officers","3,500,000","3,200,000","25,000,000","—"
"5","Office of the Public Service","","","","",""
"","Commission","00601  Advances to Public Officers","10,000,000","8,000,000","45,000,000","—"
"6","Judicial Service Commission","00701  Advances to Public Officers","3,000,000","1,500,000","15,000,000","—"
"7","National Police Commission","00801  Advances to Public Officers","3,000,000","2,200,000","15,000,000","—"
"8","Administrative Appeals Tribunal","00901  Advances to Public Officers","500,000","450,000","3,500,000","—"
"9","Commission to Investigate","","","","",""
"","Allegations of Bribery or","","","","",""
"","Corruption","01001  Advances to Public Officers","12,000,000","7,000,000","40,000,000","—"
"10","Commision to Investigate","01002  Advancing monies to be","","","",""
"","Allegations of Bribery or","used in bribery detection as","","","",""
"","Corruption","bribes","100,000,000","1,000,000","275,000,000","—"
"11","Office of the Finance Commission","01101  Advances to Public Officers","3,000,000","2,500,000","13,000,000","—"
"12","Human Rights Commission of","","","","",""
"","Sri Lanka","01301  Advances to Public Officers","500,000","200,000","1,000,000","—"
"13","Parliament","01601  Advances to Public Officers","30,000,000","28,000,000","150,000,000","—"
"14","Office of the Leader of the","","","","",""
"","House of Parliament","01701  Advances to Public Officers","2,000,000","1,200,000","6,000,000","—"
"15","Office of the Chief Govt.","","","","",""
"","Whip of Parliament","01801  Advances to Public Officers","2,500,000","1,800,000","15,000,000","—"
"16","Office of the Leader of","","","","",""
"","the Opposition of Parliament","01901  Advances to Public Officers","2,500,000","1,700,000","10,000,000","—"
"17","Elections Commission","02001  Advances to Public Officers","26,000,000","20,000,000","120,000,000","—"
"18","National Audit Office","02101  Advances to Public Officers","80,000,000","60,000,000","260,000,000","—"
"19","Office of the Parliamentary","","","","",""
"","Commissioner for Administration","02201  Advances to Public Officers","1,000,000","700,000","5,200,000","—"
"20","Delimitation Commission","02501  Advances to Public Officers","500,000","150,000","2,000,000","—"
"21","Minister of Buddha Sasana,","","","","",""
"","Religious and Cultural Affairs","10101  Advances to Public Officers","70,000,000","30,000,000","200,000,000","—"
"22","Minister of Finance","10201  Advances to Public Officers","20,000,000","15,200,000","133,000,000","—"
"23","Minister of Defence","10301  Advances to Public Officers","100,000,000","53,000,000","275,000,000","—"
"24","Minister of Economic Policies &","","","","",""
"","Plan Implementation","10401  Advances to Public Officers","5,000,000","2,000,000","5,000,000","—"
"25","Minister of Mass Media","10501  Advances to Public Officers","8,000,000","5,100,000","37,000,000","—"
"26","Minister of Justice","11001  Advances to Public Officers","30,000,000","20,000,000","110,000,000","—"
"27","Minister of Health","11101  Advances to Public Officers","","1,700,000,000  1,400,000,000 3,400,000,000","","—"
"28","Foreign Minister","11201  Advances to Public Officers","35,000,000","30,000,000","124,000,000","—"
"29","Minister of Transport","11401  Advances to Public Officers","10,000,000","6,000,000","40,000,000","—"
"30","Minister of Energy","11501  Advances to Public Officers","2,500,000","4,000,000","15,000,000","—"
"31","Minister of  Trade","11601  Advances to Public Officers","10,000,000","4,100,000","45,000,000","—"
"32","Minister of Highways","11701  Advances to Public Officers","20,000,000","7,500,000","50,000,000","—"
"33","Minister of Agriculture","11801  Advances to Public Officers","50,000,000","19,000,000","150,000,000","—"
"34","Minister of Power","11901  Advances to Public Officers","5,000,000","2,500,000","18,000,000","—"
"35","Minister of  Lands","12201  Advances to Public Officers","25,000,000","10,000,000","85,000,000","—"
"36","Minister of Urban Development","","","","",""
"","and Housing","12301  Advances to Public Officers","5,000,000","1,000,000","150,000,000","—"
"37","Minister of Education","12601  Advances to Public Officers","","3,000,000,000 1,500,000,000 4,500,000,000","","—"
"38","Minister of Public Services,","","","","",""
"","Provincial Councils and Local","","","","",""
"","Government","13001  Advances to Public Officers","85,000,000","24,000,000   2,760,000,000","","—"
"39","Minister of Plantation","13501  Advances to Public Officers","23,000,000","10,000,000","60,000,000","—"
"40","Minister of Industries","14901  Advances to Public Officers","25,000,000","15,000,000","80,000,000","—"
"41","Minister of Fisheries","15101  Advances to Public Officers","8,000,000","4,500,000","40,000,000","—"
"42","Minister of Tourism","15901  Advances to Public Officers","5,000,000","2,500,000","30,000,000","—"
"43","Minister of Environment","16001  Advances to Public Officers","20,000,000","8,000,000","60,000,000","—"
"44","Minister of Wildlife and Forest","","","","",""
"","Conservation","16101  Advances to Public Officers","5,000,000","2,500,000","20,000,000","—"
"45","Minister of Water Supply","16601  Advances to Public Officers","6,000,000","3,800,000","30,000,000","—"
"46","Minister of Development","","","","",""
"","Co-ordinating and Monitoring","16901  Advances to Public Officers","1,000,000","100,000","1,000,000","—"
"47","Minister of Ports and Shipping","17601  Advances to Public Officers","5,000,000","3,600,000","30,000,000","—"
"48","Minister of Technology","18601  Advances to Public Officers","3,000,000","250,000","3,000,000","—"
"49","Minister of Public Security","18901  Advances to Public Officers","90,000,000","72,000,000","100,000,000","—"
