"Accordingly, the following daily operating schedule will be followed from 28.05.2021 until further notice.","",""
"TIME","EVENT","ACTIvITIES	/TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","",""
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions"
"0800 hrs.","ILF/Auto reversal of Repos and","Grant ILF and settle second leg of Repos of OMO and SDF"
"","Standing Deposit Facility (SDF)",""
"0815 hrs.","Maturities/Interest payments, start of","Settlement  of  maturity  proceeds/coupon  payments  of  securities,"
"","the day (SOD) file and maturities of","effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL"
"","CBSL Securities","Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS)","Main Clearing of CITS."
"","Batch from LankaClear","SLIPS Cycle 1"
"0830 hrs.","Primary Auction Issuance (where","Issuance of Primary Auction (where applicable)."
"","applicable), Outright sales/ Purchases","Settlement  OMO  outright  sales,  purchases,  Long  Term  CBSL"
"","/ Long Term Repo Auction/ Issue of","Securities Auction and first leg of Long-Term Repo Auction."
"","Long Term CBSL Securities",""
"0845 hrs.","Multilateral Net Settlement Batch","Common ATM Switch (CAS) Cycle 4 & 5 (previous business day)"
"","from LankaClear","Common ATM Switch (CAS) Cycle 1 (current business day)"
"0900 hrs.","Multilateral Net Settlement Batch","Common  Electronic  Fund  Transfer  Switch  (CEFTS)  Cycle  4  &  5"
"","from LankaClear","(previous business day)"
"","","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1 (current"
"","","business day)"
"0900 hrs.","Multilateral Net Settlement Batch","Common POS Switch (CPS) Cycle 4 & 5 (previous business day)"
"","from LankaClear","Common POS Switch (CPS) Cycle 1 (current business day)"
"1000 hrs.","Reversal of Reverse Repos and","Settlement of second leg of Reverse Repos under OMO and SLF."
"","Standing Lending Facility (SLF)",""
"1000 hrs.","Reversal of Liquidity Support Facility (LSF)","Settlement of second leg of LSF under OMO"
"1100 hrs.","Closure of Primary Auction","Settlement of securities under Primary Auction"
"","Settlement (where applicable)",""
"1100 hrs.","MLNS batch from LankaClear","Common ATM switch (CAS) Cycle 2"
"1115 hrs.","MLNS batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 2"
"1115 hrs.","MLNS batch from LankaClear","Common POS switch (CPS) Cycle 2"
"1145 hrs.","Long Term Reverse Repos (Auction)","Settlement of First leg of Term Reverse Repo under OMO"
"1230 hrs.","MLNS batch from LankaClear","Common ATM switch (CAS) Cycle 3"
"1230 hrs.","MLNS batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 3"
"1230 hrs.","MLNS batch from LankaClear","Common POS switch (CPS) Cycle 3"
"1245 hrs.","Short Term Repos/ Reverse Repo","Settlement of First leg of short-term Repos/ Reverse Repos under"
"","(Auction)","OMO"
"1245 hrs.","LSF (Auction)","Settlement of First leg of LSF under OMO"
