"","6 months","-1 Year","Years","Years","Years",""
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Foreign Currency Financial Assets","","","","","",""
"Cash & Cash Equivalents","403,307,304","-","-","-","-","403,307,304"
"Securities at Fair Value through Profit or Loss","7,669,197","7,624,371","20,303,019","11,393,477","-","46,990,064"
"Securities at Fair Value through Other","","","","","",""
"","73,114,024","90,062,578","201,465,928","338,787,647","4,807,787","708,237,964"
"Comprehensive Income","","","","","",""
"IMF Related Assets","13,539,094","-","-","208,076","145,211,015","158,958,185"
"Other  Receivables","1,702,247","-","-","-","-","1,702,247"
"Total un-discounted Foreign Financial Assets","499,331,866","97,686,949","221,768,947","350,389,200","150,018,802","1,319,195,764"
"Local Currency Financial Assets","","","","","",""
"Sri Lanka Government Securities","463,313,921","405,150,819","5,524,792","26,202,317","317,849","900,509,698"
"Securities Purchased under Resale Agreements","2,728,412","-","-","-","-","2,728,412"
"Provisional Advances to Government","153,061,900","-","-","-","-","153,061,900"
"Equity Investments in Financial and Other Institutions","-","-","-","-","1,615,356","1,615,356"
"Loans to Banks","96,083,289","7,331,102","8,150,872","-","-","111,565,263"
"Other Assets","4,948,189","1,395,674","2,255,604","9,040,665","14,669,924","32,310,056"
"Total un-discounted Local Financial Assets","720,135,711","413,877,595","15,931,268","35,242,982","16,603,129","1,201,790,685"
"Total un-discounted Financial Assets","1,219,467,577","511,564,544","237,700,215","385,632,182","166,621,931","2,520,986,449"
"Foreign Financial Liabilities","","","","","",""
"Banks and Financial Institutions","208,337,221","-","-","-","-","208,337,221"
"Asian Clearing Union","63,864,652","-","-","-","-","63,864,652"
"IMF","6,883,538","6,864,314","31,133,271","127,514,224","350,966,277","523,361,624"
"Others","74,870,325","-","-","-","-","74,870,325"
"Total un-discounted Foreign Financial Liabilities","353,955,736","6,864,314","31,133,271","127,514,224","350,966,277","870,433,822"
"Local Currency Financial Liabilities","","","","","",""
"Deposits of Banks and Financial Institutions","129,601,521","-","-","-","-","129,601,521"
"Deposits of Government and Governmental Entities","1,460,512","-","-","-","-","1,460,512"
"Securities Sold Under Repurchase Agreements","209,507,898","-","-","-","-","209,507,898"
"Currency in Circulation","834,807,859","-","-","-","-","834,807,859"
"Other Payables","14,742,792","-","-","-","-","14,742,792"
"Total un-discounted Local Financial Liabilities","1,190,120,582","-","-","-","-","1,190,120,582"
"Total un-discounted Financial Liabilities","1,544,076,318","6,864,314","31,133,271","127,514,224","350,966,277","2,060,554,404"
"Net un-discounted Financial Assets/ (Liabilities)","(324,608,741)","504,700,230","206,566,944","258,117,958  (184,344,346)","","460,432,045"
"","Less than","6 Months","","","",""
"","6 months","-1 Year","","","",""
"As at 31 December 2020","Rs. 000","Rs. 000","","","",""
"Derivative Financial Assets","117,285,065","30,027,810","","","",""
"Derivative Financial Liabilities","115,556,701","30,011,720","","","",""
