"Name of the Bank:   …………………………………………………","","","","","","","","","","","","","","","","","",""
"Reporting Month & Year:   ………………………………………….","","","","","","","","","","","","","","","","","",""
"","","","","","CREDITS","","","","","","","DEBITS","","","","","",""
"","","","","","","","","","","","Debt servicing","","","","","","","Total"
"","","","","","Remittances","","","","","","","Local","Remittances","","","","",""
"","","","","","","","","","","","expenses and","","","Transfers to","","","Balance","Number"
"","","Balance as at","","Transfers","made under","","","","","","","Disbursement/","made under","","","","",""
"Category of the","","","","","","Total","","","","Transfers","repayment of","","","investment","","","as at end","of	A/Cs"
"","Currency","beginning of","Inward","From","the provisions","","Other","","Outward","","","Transfer","the provisions","","Other","","",""
"Account","","","","","","Interest","","Total","","To Other","foreign currency","","","in SLDBs","","Total","of the","as at end"
"","","the month","Remittences","other","of Sec. 8(3)","","credits","","Remittences","","","to Rupee","of Sec. 8(6)","","debits","","",""
"","","","","","","Credited","","","","Accounts","accommodations and","","","in foreign","","","month","of the"
"","","","","Accounts","of FEA by","","","","","","","Accounts","of FEA by","","","","",""
"","","","","","","","","","","","transfer of funds to","","","currency","","","","month"
"","","","","","individulas","","","","","","","","individuals","","","","",""
"","","","","","","","","","","","BFCA Loan Account","","","","","","",""
