"3.","Entrust Securities PLC (h) 
7.
Wealth Trust Securities Ltd."
"4.","First Capital Treasuries PLC"
"(a)","Non-compliant with the minimum capital adequacy requirement as at 31.12.2021 or minimum core capital requirement as at 01.01.2022. Those companies are required to comply"
"","with the requirements of the Masterplan introduced to Non-banking sector by the Monetary Board, or capital restoration plan approved by the Monetary Board within a given time"
"","frame."
"(b)","Associated Motor Finance Co. PLC amalgamated with Arpico Finance Co. PLC w.e.f.01.04.2021."
"(c)","Business operations were suspended on 13.07.2020 by the Monetary Board. On 06.01.2021, the Monetary Board decided to cause Director, Supervision of Non-Bank Financial"
"","Institutions to make an application to a competent court for the winding up."
"(d)","The name of Ideal Finance Ltd.  has been changed to Mahindra Ideal Finance Ltd w.e.f. 28.01.2022."
"(e)","The name of Lanka Credit and Business Finance Ltd. has been changed to Lanka Credit and Business Finance PLC w.e.f. 21.01.2022 due to the listing requirement under the"
"","Masterplan."
"(f)","The name of Sarvodaya Development Finance Ltd. has been changed to Sarvodaya Development Finance PLC w.e.f. 06.01.2022 due to the listing requirement under the Masterplan."
"(g)","Restrictions were imposed by the Monetary Board on conducting new leasing business."
"(h)","Participation in government securities primary auction was refrained w.e.f. 24.07.2017."
"(i)","Suspended carrying on the business and activities of a primary dealer w.e.f. 06.07.2017 and current suspension is effective until 05.07.2022."
