"","","Ref. No.","Page"
"40","Order made by the Monetary Board of the Central Bank of Sri Lanka in terms of the","","57"
"","Provisions of Section 103 of the Monetary Law Act, No. 58 of 1949 on Maintaining","",""
"","Cash Margin Deposit Requirements Against Letters of Credit – (Withdrawal of the","",""
"","above order)","",""
"Foreign Exchange","","",""
"41","Directions No. 01 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","58"
"","Directions Issued to Authorised Dealers on Temporary Special Foreign Currency","",""
"","Accounts for Licensed Finance Companies","",""
"42","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/34","59"
"","No. 2213/34 – Wednesday, February 03, 2021","",""
"43","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/35","65"
"","No. 2213/35 – Wednesday, February 03, 2021","",""
"44","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/36","73"
"","No. 2213/36 – Wednesday, February 03, 2021","",""
"45","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/37","78"
"","No. 2213/37 – Wednesday, February 03, 2021","",""
"46","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/38","82"
"","No. 2213/38 – Wednesday, February 03, 2021","",""
"47","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/39","86"
"","No. 2213/39 – Wednesday, February 03, 2021","",""
"48","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2213/40","88"
"","No. 2213/40 – Wednesday, February 03, 2021","",""
"49","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2215/39","89"
"","No. 2215/39 – Thursday, February 18, 2021","",""
"50","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2218/38","90"
"","No. 2218/38 – Tuesday, March 09, 2021","",""
"51","Directions No. 02 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","91"
"","Directions issued to Authorised Dealers on Current Transactions","",""
"52","Directions No. 03 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","96"
"","Directions issued to Authorised Dealers on Electronic Fund Transfer Cards","",""
"","(EFTCs)","",""
"53","Directions No. 04 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","100"
"","Directions issued to Authorised Dealers on Personal Foreign Currency Accounts","",""
"","(PFCAs)","",""
"54","Directions No. 05 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","105"
"","Directions issued to Authorised Dealers on Business Foreign Currency Accounts","",""
"","(BFCAs)","",""
"55","Directions No. 06 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","112"
"","Directions Issued to Authorised Dealers on Diplomatic Foreign Currency","",""
"","Accounts (DFCAs) and Diplomatic Rupee Accounts (DRAs)","",""
"56","Directions No. 07 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","114"
"","Directions issued to Authorised Dealers on Senior Foreign Nationals’ - Special","",""
"","Accounts","",""
"57","Directions No. 08 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","118"
"","Directions issued to Authorised Dealers on Resident Guest Scheme - Special","",""
"","Accounts","",""
"58","Directions No. 09 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","123"
"","Directions issued to Authorised Dealers on Accommodations to Business Foreign","",""
"","Currency Accounts (BFCAs) holders","",""
