"","","","","with interest. Hence, the total deposit collected with",""
"5      cent","23,267","23,267","","",""
"","","","","the interest calculated on weighted average Treasury",""
"10    cent","39,236","39,236","","",""
"","","","","Bill interest rate is recorded as a liability of the Bank.",""
"25    cent","121,246","121,246","","",""
"50    cent","185,147","185,147","","",""
"","","","30.2 Balances of Employee Benefit Plans","",""
"1      rupee","1,023,087","989,834","","",""
"2      rupee","1,587,838","1,524,255","","",""
"","","","","The  Bank,  as  a  part  of  normal  activities,  provides",""
"5      rupee","5,168,455","4,902,340","","",""
"","","","","current  account  facilities  for  its  Employee  Benefit",""
"10    rupee","7,673,980","7,122,933","","",""
"","","","","Plans. The amounts held in credit of these separately",""
"20    rupee","40,955","-","","",""
"","","","administered","current  accounts  and","inter  entity"
"Commemorative coins","598,953","591,807","","",""
"","","","","accounts of Employee Benefit Plans of the Bank, are",""
