"2018
2019 (a)
Value
Value
Preferential Agreement
Growth 
Share   
Generalised System of Preferences (GSP)
3,927.7
4,077.9
3.8
82.5
o/w EU (including GSP+) (b)
2,665.3
2,766.3
3.8
56.0
 USA
708.0
709.4
0.2
14.3
 Russian Federation (c) 
166.6
150.3
-9.8
3.0
 Australia
79.5
89.7
12.9
1.8
 Turkey
79.5
85.3
7.3
1.7
 Japan
92.7
84.9
-8.4
1.7
 Canada
71.6
73.5
2.6
1.5
India-Sri Lanka Free Trade Agreement (ISLFTA)","","","","","",""
"","","","","","",""
"","","","","","","(US$ 
(US$ 
(%)
(%)"
"","","","","","","million)
million)"
"","","","","","",""
"483.5
489.6
1.3
9.9
Implemented in 2000
Asia-Pacific Trade Agreement (APTA)","","","","","",""
"","","","","","",""
"implemented in 2006 (d)
Global System of Trade Preferences (GSTP)","","","","","157.0
179.3
14.2
3.6",""
"Implemented in 1989
Pakistan-Sri Lanka Free Trade Agreement (PSFTA)","","","","","92.6
80.7
-12.8
1.6",""
"","","","","","",""
"Implemented in 2005
South Asian Free Trade Area (SAFTA)
Implemented in 2006
SAARC Preferential Trading Arrangement (SAPTA)","","","","","51.0
60.8
19.1
1.2
35.4
55.9
57.9
1.1",""
"Implemented in 1995
Total Exports under Preferential Agreements
As a share of Sri Lanka's Total Merchandise 
Exports
(a) Provisional
(b) The EU-GSP provides preferential access for 66 
per cent of the tariff lines on imported goods to 
the EU, while the EU-GSP+ provides zero duty 
access to the same tariff lines on imported goods 
to the EU.
(c) Includes Russia, Belarus and Kazakhstan
(d) Earlier known as the Bangkok Agreement (1975)","","","","","3.5
1.7
-50.1
...
4,750.7
4,945.8
4.1
100.0
40.0
41.4
Sources: Sri Lanka Customs",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","Department of Commerce",""
