"No.","HS code"
"497","84501232"
"498","84501233"
"499","84501234"
"500","84501239"
"501","84501910"
"502","84501931"
"503","84501932"
"504","84501933"
"505","84501934"
"506","84501939"
"507","850811"
"508","850940"
"509","850980"
"510","851010"
"511","851020"
"512","851030"
"513","85131010"
"514","85131090"
"515","851610"
"516","851621"
"517","851629"
"518","851631"
"519","851632"
"520","851633"
"521","851640"
"522","851650"
"523","85166010"
"524","85166090"
"525","851671"
"526","851672"
"527","85167910"
"528","85167920"
"529","851680"
"530","851711"
"531","85171210"
"532","85171220"
"533","85171290"
"534","851718"
"535","85258090"
"536","852712"
"537","852713"
"538","852719"
"539","852721"
"540","852729"
