"No.","HS code"
"409","640590"
"410","650100"
"411","650200"
"412","650400"
"413","65050010"
"414","65050090"
"415","65069110"
"416","65069190"
"417","65069910"
"418","65069990"
"419","650700"
"420","660110"
"421","660191"
"422","660199"
"423","670300"
"424","670411"
"425","670419"
"426","670420"
"427","670490"
"428","69120010"
"429","701310"
"430","701322"
"431","701328"
"432","701333"
"433","701337"
"434","701341"
"435","701342"
"436","701349"
"437","701391"
"438","70139990"
"439","701810"
"440","701820"
"441","732111"
"442","732112"
"443","732119"
"444","732181"
"445","732182"
"446","732189"
"447","732310"
"448","732391"
"449","732392"
"450","732393"
"451","732394"
"452","732399"
