"Information and documentation required","","","","Chair-
person","Board of 
Director","CEO"
"a) 
the original affidavit","","","","","",""
"","","","","","",""
"","as given in schedule I which is completed in line with the guidelines given 
in the directions.","","","X","X","X"
"","","","","","",""
"","","","","","",""
"b) 
self-assessment 
Incorporating  the  improvement  of  financial  performance  during  past  12 
months, details of any special assignments, projects carried out under the 
leadership and explaining the future plans to increase value of the lfC","","","","","",""
"","","","","","",""
"","","","","X","X","X"
"","","","","","",""
"c) 
Chairperson assessment  
Performance and the contribution with key achievements during the past 12 
months.","","","","-","X","X"
"","","","","","",""
"d) 
Board resolution 
for  board  of  directors  exceeding  the  age  of  70  years  up  to  maximum  of 
75 years on the continuation of the directorship. the Board resolution must 
be sufficiently describing the benefit to the lfC of the continuation of such 
board  of  director/s  and  must  be  supported  by  documentation/evidence, 
wherever possible.","","","","-","X","-"
"","","","","","",""
"","","","","","",""
"e) 
Non-executive directors’ assessment on the chairperson performance
annual  independent  assessment  of  the  chairperson’s  performance  by  the 
non-executive directors.","","","","X","-","-"
"","","","","","",""
