"No.","HS code"
"150","610339"
"151","610341"
"152","610342"
"153","610343"
"154","610349"
"155","610413"
"156","610419"
"157","610422"
"158","610423"
"159","610429"
"160","610431"
"161","610432"
"162","610433"
"163","610439"
"164","610442"
"165","610443"
"166","610444"
"167","610449"
"168","610452"
"169","610453"
"170","610459"
"171","610461"
"172","610462"
"173","610463"
"174","610469"
"175","610510"
"176","610520"
"177","610590"
"178","610610"
"179","610620"
"180","610690"
"181","610711"
"182","610712"
"183","610719"
"184","610721"
"185","610729"
"186","610791"
"187","610799"
"188","610811"
"189","610819"
"190","610821"
"191","610822"
"192","610829"
