"No.","HS code"
"64","220421"
"65","220510"
"66","220820"
"67","220830"
"68","22084010"
"69","220850"
"70","220860"
"71","220870"
"72","240210"
"73","24022050"
"74","24022060"
"75","24031990"
"76","24039990"
"77","33030010"
"78","33030021"
"79","33030022"
"80","33030029"
"81","330410"
"82","330420"
"83","330430"
"84","330491"
"85","330499"
"86","330510"
"87","330520"
"88","330530"
"89","330590"
"90","330610"
"91","330690"
"92","330710"
"93","330720"
"94","330730"
"95","330749"
"96","33079090"
"97","34011920"
"98","34013020"
"99","340600"
"100","40111010"
"101","40111090"
"102","40112011"
"103","40112019"
"104","401130"
"105","401170"
"106","40118010"
