"","","","","",""
"No","Entity","","Actual 
Employees 
as at 30 June 
2021","Turnover  as at 
31-12-2020 
(Rs.Mn)","WC forcast for 
3 months 
(Rs.Mn)"
"","","","","",""
"Small","","","","",""
"1","Skills Development Fund Ltd","","36","17","5"
"","","","","",""
"2","Co-operative wholesale Establishment","","306","21","50"
"3","National Paper Company Ltd","","110","22","16"
"4","Cey-Nor Foundation Ltd","","72","37","10"
"5","Ceylon Ceramic Corporation","","35","85","5"
"","","","","",""
"6","National Film Corporation of Sri Lanka","","129","108","19"
"","","","","",""
"7","Kahatagaha Graphite Lanka Ltd","","116","126","17"
"8","Lakdiva Engineering Company Ltd","","104","130","15"
"9","Palmyrah Development Board","","207","133","30"
"10","Sri Lanka Foundation","","155","153","22"
"11","Sri Lanka Cashew Corporation","","372","155","54"
"","","","","",""
"12","Paddy Marketing Board","","192","179","28"
"13","Sri Lanka Institute of Nano Technology (Pvt) Ltd","","86","192","130"
"14","National Transport Commission","","195","194","50"
"","","","","",""
"15","Sri Lanka Handicraft Board (Laksala)","","139","194","30"
"","","","","",""
"16","Manthai Salt Ltd","","173","202","25"
"17","Lanka Phosphate Ltd","","25","218","21"
"","","","","",""
"18","North Sea Ltd","","250","245","50"
"Medium","","","","",""
"19","BCC Lanka Ltd","","52","306","10"
"20","Paranthan Chemicals Company Ltd","","55","307","8"
"","","","","",""
"21","Elkaduwa Plantations Ltd.","","1545","328","222"
"22","Sri Lanka Institute of Tourism & Hotel Management","","190","341","27"
"","","","","",""
"23","Sri Lanka Tourism Development Authority","","197","377","120"
"24","Sri Lanka Broadcasting Corporation","","710","545","102"
"25","Dr. Nevile Fernando Teaching Hospital","","656","570","150"
"26","Ceylon Fishery Harbours Corporation","","1219","596","200"
"","","","","",""
"27","Sri Lanka Ayurvedic Drugs Corporation","","337","676","150"
"Large","","","","",""
"","","","","",""
"28","National Building Research Organization","","317","771","46"
"","","","","",""
"29","Chilaw Plantations Ltd","","805","791","130"
"30","Sri Lanka State Plantations Corporation","","3550","925","511"
"31","Sri Lanka Tourism Promotion Bureau","","88","1,037","50"
"","","","","",""
"32","Sri Lanka Rupavahini Corporation","","898","1,049","300"
"","","","","",""
"33","Janatha Estates Development Board","","3870","1,134","557"
"34","Independent Television Network Ltd","","756","1,150","300"
"","","","","",""
"35","Kalubowitiyana Tea Factory Ltd","","80","1,175","100"
