"#","CBSL","","","CBSL","","","","Approved 
Loan","Loan 
Released","","Date of","","Date of 
Refinance","","","Initial Grace 
Period","","","Debt Moratorium","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","Requested 
Moratorium","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Registration","","Refinance","","Name of the","NIC/","Amount by","Amount","","Loan","","granted","Repayment","","provided","","","Requested Debt","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","Ending date","","Facility","","","",""
"","","No.","","No. (if 
applicable)","","Borrower/s","BR","the CBSL 
(Rs.)","by the PFI 
(Rs.)","","Released 
by the PFI","","by the 
CBSL","Period","","for the loan 
(No. of 
months)","","","Moratorium 
period (No. of 
months)","","of the Debt 
Moratorium","","(Capital	only/
Capital
and Interest 
Both)*","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
