"","",""
"TIME","EVENT","ACTIvITIES	/TRANSACTIONS"
"","",""
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to 
0800 hrs.","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"0800 hrs.","ILF/Auto reversal of Repos and 
Standing Deposit Facility (SDF)","Grant ILF and settle second leg of Repos of OMO and SDF"
"","",""
"0815 hrs.","Maturities/Interest payments, start of 
the day (SOD) file and maturities of 
CBSL Securities","Settlement  of  maturity  proceeds/coupon  payments  of  securities, 
effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL 
Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS) 
Batch from LankaClear","SLIPS Cycle 1/Main Clearing of CITS."
"","",""
"0845 hrs.","Primary Auction Issuance (when 
applicable)","Issuance of Primary Auction (when applicable)"
"0845 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycle 1"
"","",""
"1100 hrs.","MLNS Batch from LankaClear","CAS Cycle 2"
"","",""
"1100 hrs.","Reversal of Reverse Repos and 
Standing Lending Facility (SLF)","Settlement of second leg of Reverse Repos under OMO and SLF."
"1115 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CPS Cycle 2"
"1300 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 2"
"1300 hrs.","MLNS Batch from LankaClear","CAS Cycle 3"
"","",""
"1315 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 3"
"","",""
"1315 hrs.","MLNS Batch from LankaClear","CPS Cycle 3"
"1400 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing."
"","",""
"1415 hrs.","Primary cut-off time for third party 
transactions","Close	for	new	transactions	(for	T	+	0)	in	favour	of	third	parties,	
except for bank-to-bank (MT2XX series)."
"1430 hrs.","Cut-off time for standing facilities","SLF and SDF windows are closed for Participants at 1430 hrs."
"1435 hrs..","Cut-off time for Participant managed 
ILF Repo creation","Participants should not initiate ILF Repos after 1435 hrs."
"1445 hrs.","ILF Repayment","Repayment of ILF."
"","",""
"1500 hrs.","Final Cut-off Time
Closure of System for business","No  further  inputs  are  accepted.    With  the  closure  of  system 
for  business,  queue/Settlement  processing  will  cease  and  any 
transactions still in queues will be rejected by the system."
"","",""
"1500 hrs.    to 
1515 hrs.","EOD processing","End-of-day 
(EOD)  processes  e.g.  generate 
reports/GL  export 
(EOD)  file,  database  maintenance  for  billing/statement  printing 
purposes."
