"No.","HS code"
"365","630392"
"366","630399"
"367","630411"
"368","63041990"
"369","630420"
"370","630491"
"371","63049290"
"372","63049390"
"373","63049990"
"374","63051090"
"375","630520"
"376","630532"
"377","630533"
"378","630539"
"379","630590"
"380","630612"
"381","630619"
"382","630622"
"383","630629"
"384","630630"
"385","630640"
"386","630690"
"387","630710"
"388","630720"
"389","640212"
"390","64021910"
"391","64021919"
"392","640220"
"393","640291"
"394","640299"
"395","640312"
"396","64031910"
"397","64031919"
"398","640320"
"399","640340"
"400","640351"
"401","640359"
"402","640391"
"403","640399"
"404","640411"
"405","640419"
"406","640420"
"407","640510"
"408","640520"
