"3.5","Provide services linked 
with establishing, 
operating or managing 
of a shell company, 
company in nominal 
ownership.","","","","","Eg. 
Engages 
in 
creation, 
operation 
or 
management of legal persons or arrangements.","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"3.6","Conducts transactions 
without clear 
commercial rationale","","","","","Eg.  Continuously 
transfer 
funds 
to  dormant 
account","","","","","","",""
"4) Delivery Channels/Business Relationships Risk","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"4.1","Method of delivery 
remove or minimise 
face-to-face contact 
with the client","","","","","Eg. Transaction through internet/ wire transfers","","","","","","",""
"4.2","Third party can be used 
as delivery channel","","","","","","","","","","","",""
"","","","","","","Eg. Use of agents/ Service providers/ Lawyers/","","","","","","",""
"","","","","","","Accountants","","","","","","",""
"","","","","","","","","","","","","",""
"4.3","Delivery channels 
involving cross-border 
payments","","","","","Eg. Wire transfers, Online transactions","","","","","","",""
"","","","","","","","","","","","","",""
"4.4","Delivery channels 
involving cash payments","","","","","Eg. Using cash for service charges","","","","","","",""
"5) Geographical Risk","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.1","Dealings with countries 
that have weak or 
ineffective AML/CFT 
measures or subject to 
sanctions, embargoes 
or similar measures 
issued by the United 
Nations Securities 
Council Resolution 
(UNSCR)","","","","","Eg. Countries which are monitored jurisdictions 
like  Ghana, 
Botswana, 
etc./ 
High 
risk 
jurisdictions-Iran and North Korea","","","","","","",""
"","","","","","","","","","","","","",""
"5.2","Dealings with countries 
where illegal activities 
are taken place.","","","","","Eg.  countries  with  high  degree  of  organised 
crime or drug related crime or high degree of 
people trafficking or smuggling","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.3","Dealings with countries 
that have a high","degree of corruption","","","","Eg.  Somalia,  South  Sudan,  Syria 
(Source: 
Corruption Perceptions Index 2018)","","","","","","",""
"","","","","","","","","","","","","",""
"","","and bribery","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"5.4","Dealings with 
countries that are in a 
conflict zone or have 
significant terrorism 
activity or as providing 
funding or support for 
terrorist activities","","","","","Eg. Syria, Afghanistan, Iraq","","","","","","",""
"5.5","Any country identified 
as a financial secrecy 
haven or jurisdiction","","","","","Eg. Switzerland, USA, Cayman Islands (Source:","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","The Financial Secrecy Index 2018)","","","","","","",""
"","","","","","","","","","","","","",""
"5.6","Branches and 
subsidiaries of the 
service provider are 
located in other 
countries","","","","","Eg.  Country  which  has  weak  or 
ineffective 
AML/CFT  measures/  High-Risk 
Jurisdiction/","","","","","","",""
"","","","","","","Countries that have a high degree of organised 
crime  or  drug  related  crime  or  high  degree","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","of  people  trafficking  or  smuggling/  Countries 
having strict AML/CFT laws and regulations","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
