"TIME","EVENT","ACTIVITIES /TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to 
0800 hrs.","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"","",""
"0800 hrs.","ILF/Auto reversal of Repos and 
Standing Deposit Facility (SDF)","Grant ILF and settle second leg of Repos of OMO and SDF"
"","",""
"0815 hrs.","Maturities/Interest payments, start of 
the day (SOD) file and maturities of 
CBSL Securities","Settlement  of  maturity  proceeds/coupon  payments  of  securities, 
effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL 
Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS) 
Batch from LankaClear","SLIPS Cycle 1/Main Clearing of CITS."
"","",""
"0830 hrs.","Primary Auction/ Outright sales/ 
Purchases / Long Term Repo Auction/ 
Issue of Long Term CBSL Securities","Settlement  of  OMO  outright  sales,  purchases,  Long  Term  CBSL 
Securities Auction and first leg of Long Term Repo Auction."
"0845 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycle 1"
"","",""
"1000 hrs.","Reversal of Reverse Repos and 
Standing Lending Facility (SLF)","Settlement of second leg of Reverse Repos under OMO and SLF."
"","",""
"1000 hrs.","Reversal of Liquidity Support Facility 
(LSF)","Settlement of second leg of LSF under OMO"
"1100 hrs.","MLNS Batch from LankaClear","CAS Cycle 2"
"","",""
"1100 hrs.","Closure of Primary Auction 
Settlement/Short Term CBSL 
Securities Auction","Settlement of securities under Primary Auction.
Settlement of Short Term CBSL Securities Auction"
"1115 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CPS Cycle 2"
"1130 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 2"
"","",""
"1215 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing."
"","",""
"1220 hrs.","Cut-off time for standing facilities 
(SDF/ SLF)","SLF and SDF windows are closed for participants"
"","Primary cut-off time for third party 
transactions","Close for new transactions (for T + 0) in favour of third parties, 
except for bank-to-bank (MT2XX series)."
"1230 hrs.","Cut-off time for Participant managed 
ILF Repo creation","Participants should not initiate ILF Repos after 1230 hrs."
"1240 hrs.","SDF","Settlement of first leg of SDF"
"1250 hrs.","SLF","Settlement of first leg of SLF."
"1250 hrs.","ILF Repayment","Repayment of ILF."
"","",""
"1300 hrs.","Final Cut-off Time
Closure of System for business","No  further  inputs  are  accepted.    With  the  closure  of  system 
for  business,  queue/Settlement  processing  will  cease  and  any 
transactions still in queues will be rejected by the system."
