"Notes to the Risk Assessment","","","","","","","",""
"","","","","","","","",""
"S/N","Risk Factor","","Description on the Risk Factor","","","","",""
"1) Assessing Nature, size and complexity of the Institution","","","","","","","",""
"","","","","","","","",""
"1.1","Size of the business","","Larger 
the  business,  possibility  of  occurring 
suspicious  activities  and 
transactions during the course of business is higher.","","","","",""
"","","","","","","","",""
"","","","Large organisations may have difficulty in monitoring the implementation of 
AML/CFT measures to meet AML/CFT requirements.","","","","",""
"","","","","","","","",""
"1.2","Ownership structure","","","","","","",""
"","","","The ML/TF risk is higher when the ownership is under foreign/dual citizens or 
another entity compared to local/ individual ownership.","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"1.3","Complexity of the services","","Greater complexity decreases the transparency of business transactions and 
activities, increases ML/TF vulnerability and may reduce the effectiveness of 
AML/CFT measures.","","","","",""
"1.4","Nature of the services provided 
and activities recognised as being 
associated with ML/TF vulnerability","","Services  or  activities  which  have  been  identified  as  high  or  medium  level 
vulnerable 
to  ML/TF  during 
the  National  Risk  Assessment  or  high  cash 
intensive businesses.","","","","",""
"2) Client Risk","","","","","","","",""
"","","","","","","","",""
"2.1","Ownership structure","","Complex  and  non-transparent  structures  may  hide  and  disguise  beneficial 
ownership/effective control and disguise ML/TF activities. Client may establish 
legal  entities  in  a  chain  of  multi-jurisdictional  structures  to  hide  the  true 
ownership and control of assets held overseas.","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"2.2","Clients in high-risk occupations","","Some occupations can have greater vulnerability to ML/TF. (For example, cash 
intensive  businesses,  gatekeeper  occupations,  jewellers,  high-value  goods 
dealers, real estate agents, travel agents, import/export companies, remitters 
and money service businesses)","","","","",""
"2.3","Clients residing outside Sri Lanka","","Clients who are foreigners or Sri Lankan expatriates residing in other countries.","","","","",""
"","","","","","","","",""
"2.4","Clients reside in high-risk 
jurisdiction","","Client reside in a high-risk jurisdiction pose a higher level of ML/TF vulnerability 
to the service provider.","","","","",""
"2.5","Politically Exposed Persons (PEPs)","","Due to their position and influence, PEPs are in positions that potentially can be 
abused for the purpose of committing ML offences and related predicate offences, 
including corruption and bribery, as well as conducting activity related to TF.","","","","",""
"","","","","","","","",""
"2.6","Clients are located in a known 
high crime rate area","","Clients reside in a knowing area for high crime rate may create a higher level 
of ML/TF vulnerability to the service provider.","","","","",""
"2.7","Client’s physical location","","It  is  difficult  to  track  down  the  true  identity  of  a  client  who  does  not  have 
an  address  or  who  have  several  addresses.  This  will  result  in  high  ML/TF 
vulnerability to the service provider.","","","","",""
"","","","","","","","",""
"2.8","Clients with criminal records or 
links to organized crime","","When the clients have prior criminal records or links to organised crimes. The 
ML/TF vulnerability posed by such customers become high.","","","","",""
"3) Services risk","","","","","","","",""
"","","","","","","","",""
"3.1","Services support physical cash 
deposits and/or withdrawals","","The  ease  of  movement  of  cash  without  audit  trail  makes  it  highly  vulnerable","","","","",""
"","","","to  ML/TF  activity.  If  the  offered  services  by  your  Institution  provide  platform  to 
deposit or obtain cash (e.g. at ATMs, at point of sale, or through a cash advance 
transaction) then ML/TF risk of such occasions should be considered. When these 
cash transactions are in a large amounts it will compound the ML/TF risk.","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"3.3","Services that facilitates 
international fund transfers","","If the services facilitate inward or outward remittances, such remittances which 
are received or paid avoided the stipulated mechanisms (IIA, OIA).","","","","",""
"3.3","Services support payments to/from 
third parties or non-clients","","This  can  disguise  the  beneficial  ownership  or  effective  control  of  funds. 
The  presence  of  multiple  intermediaries  and  agents  can  hide  and  disguise 
beneficial ownership.","","","","",""
"","","","","","","","",""
"3.4","Services support transactions that 
can be conducted remotely or 
without interaction with the service 
provider","","Less face-to-face interaction with a customer increases vulnerability to ML/TF","","","","",""
"","","","activity. Especially online activity can facilitate high-frequency and high-value 
activity on an international level, often with little or no interaction between the 
service provider and client.","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
