"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Details of the Requested Loans by Contractors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#","Promissory Notes issued by the Bank","","","","","","","","","","","","","","","","","","","","Promissory Notes/Guarantees issued by the Government","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Ref. No                        
(As stated in","Annex II)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Date of Issue (DD/","","","Date of Maturity","","","","","Value","","","Amount","","","","","Ref. No","","Name of the","","Value","","","","Date of","","",""
"","","","","","MM/YYYY)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(DD/MM/YYYY)","","","","","(Rs.)","","requested from","","","","","","","Contractor","","","(Rs.)","","","","Issue (DD/","",""
"","","","","","","","","","","","","","","","","","the CBSL (Rs.)","","","","","","","","","","","","","MM/YYYY)","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
