"","","","","","","","",""
"","","","Capital O/S","Interest","","Installment","","Bal C/F"
"","Apr-19","","2,000,000","40,000","","(57,536)","","1,982,464"
"","May-19","","1,982,464","39,649","","(57,536)","","1,964,577"
"","Jun-19","","1,964,577","39,292","","(57,536)","","1,946,333"
"","","","","","","","",""
"","Jul-19","","1,946,333","38,927","","(57,536)","","1,927,724"
"","","","","","","","",""
"","Aug-19","","1,927,724","38,554","","(57,536)","","1,908,742"
"","Sep-19","","1,908,742","38,175","","(57,536)","","1,889,381"
"","Oct-19","","1,889,381","37,788","","(57,536)","","1,869,633"
"","Nov-19","","1,869,633","37,393","","(57,536)","","1,849,490"
"","Dec-19","","1,849,490","36,990","","(57,536)","","1,828,944"
"","","","","","","","",""
"","Jan-20","","1,828,944","36,579","","(57,536)","","1,807,986"
"","","","","","","","",""
"","Feb-20","","1,807,986","36,160","","(57,536)","","1,786,610"
"","Mar-20","","1,786,610","35,732","","(57,536)","","1,764,807"
"","","","","","","","",""
"","","","","","","","",""
"","Apr-20","","1,764,807","11,030","","","","1,775,837"
"","May-20","","1,775,837","11,099","","","","1,786,936"
"","","","","","","","",""
"","Jun-20","","1,786,936","11,168","","","","1,798,104"
"","Jul-20","","1,798,104","11,238","","","","1,809,342"
"","Aug-20","","1,809,342","11,308","","","","1,820,650"
"","Sep-20","","1,820,650","11,379","","","","1,832,029"
"","","","","","","","",""
"","Oct-20","","1,764,807","35,296","","(57,536)","","1,742,567"
"","","","","","","","",""
"","Nov-20","","1,742,567","34,851","","(57,536)","","1,719,882"
"","Dec-20","","1,719,882","34,398","","(57,536)","","1,696,744"
"","Jan-21","","1,696,744","33,935","","(57,536)","","1,673,143"
"","Feb-21","","1,673,143","33,463","","(57,536)","","1,649,070"
"","Mar-21","","1,649,070","32,981","","(57,536)","","1,624,515"
"","","","","","","","",""
"","Apr-21","","1,624,515","32,490","","(57,536)","","1,599,470"
"","","","","","","","",""
"","May-21","","1,599,470","31,989","","(57,536)","","1,573,923"
"","Jun-21","","1,573,923","31,478","","(57,536)","","1,547,866"
"","","","","","","","",""
"","Jul-21","","1,547,866","30,957","","(57,536)","","1,521,287"
"","Aug-21","","1,521,287","30,426","","(57,536)","","1,494,177"
"","Sep-21","","1,494,177","29,884","","(57,536)","","1,466,524"
"","Oct-21","","1,466,524","29,330","","(57,536)","","1,438,319"
"","","","","","","","",""
"","Nov-21","","1,438,319","28,766","","(57,536)","","1,409,549"
"","Dec-21","","1,409,549","28,191","","(57,536)","","1,380,204"
"","","","","","","","",""
"","Jan-22","","1,380,204","27,604","","(57,536)","","1,350,273"
"","Feb-22","","1,350,273","27,005","","(57,536)","","1,319,742"
"","Mar-22","","1,319,742","26,395","","(57,536)","","1,288,601"
"","Apr-22","","1,288,601","25,772","","(57,536)","","1,256,837"
"","","","","","","","",""
"","May-22","","1,256,837","25,137","","(57,536)","","1,224,438"
