"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Circular No. 01 of 2019","","","Circular No. 04 and 05","","","","","","","","","","","","","","",""
"","","","","","","","","of 2020","","","Circular No. 09 of 2020","","","","","","","","","","","",""
"Serial 
Number","Contract 
No.","Name of 
the 
Borrower","","","Amount 
Outstand-
ing 
at the time 
of granting 
the","Amount 
Consid-
ered for 
Moratorium","","Amount 
Outstand-
ing at the 
time of 
granting 
the","","Amount 
Considered","Amount 
Outstanding 
at the time of","Amount 
Considered","Number of 
Moratorium","Total 
Period of","Total 
Amount","New term loan 
facility for the interest","","","","New term loan facility 
under Circular No. 09","","","Status of 
the"
"","","","","","","","","","","for 
Moratorium","","for","Requests","Moratorium","Considered","accrual under the","","","","of 2020","","","Morato-"
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","granting the 
moratorium 
(Rs.’000)","Moratorium","Approved 
from 
18.04.2019","(months)","for 
Moratorium","Explanatory Note No. 
03 of 2020 and 04","","","","","","","rium
(pending"
"","","","","","","(Rs.’000)","","","","(Rs.’000)","","(Rs.’000)","","","","","","","","","","",""
"","","","","","","","","","","","","","","","(Rs.’000)","of 2020","","","","","","","approval/"
"","","","","","moratorium","","","moratorium","","","","","","","","","","","","","","","granted)"
"","","","","","(Rs.’000)","","","(Rs.’000)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Repayment 
period
(months)","","Interest 
rate(%)","","Repayment 
period
(Months)","Interest 
rate(%)","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
