"TIME","EVENT","ACTIVITIES /TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to 
0800 hrs.","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","LankaSettle System opens for 
business","System opens for effecting transactions"
"","",""
"0800 hrs.","ILF/Auto reversal of Repos and 
Standing Deposit Facility (SDF)","Grant ILF and settle second leg of Repos of OMO and SDF"
"","",""
"0815 hrs.","Maturities/Interest payments, start of 
the day (SOD) file and maturities of 
CBSL Securities","Settlement  of  maturity  proceeds/coupon  payments  of  securities, 
effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL 
Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS) 
Batch from LankaClear","Main Clearing of CITS. 
SLIPS Cycles 1& 2 (of 25.03.2020)
SLIPS Cycles 1& 2 (of 26.03.2020)
SLIPS Cycle 1 (of 27.03.2020)"
"","",""
"0830 hrs.","Primary Auction Settlement, Outright 
sales/ Purchases / Long Term Repo 
Auction/ Issue of Long Term CBSL 
Securities","Settlement  of  Primary  Auction,  OMO  outright  sales,  purchases, 
Long Term CBSL Securities Auction and first leg of Long Term Repo 
Auction."
"0845 hrs.","Multilateral Net Settlement Batch 
from LankaClear","Common ATM Switch (CAS) Cycle 1 (27.03.2020)"
"0900 hrs.","Multilateral Net Settlement Batch 
from LankaClear","Common  Electronic  Fund  Transfer  Switch 
(CEFTS)  Cycle  1 
(27.03.2020)"
"0900 hrs.","Multilateral Net Settlement Batch 
from LankaClear","Common POS Switch (CPS) Cycle 1 (27.03.2020)"
"","",""
"1000 hrs.","Reversal of Reverse Repos and 
Standing Lending Facility (SLF)","Settlement of second leg of Reverse Repos under OMO and SLF. 
(1st leg conducted on 24.03.2020)"
"","",""
"1100 hrs.","Closure of Primary Auction 
Settlement","Settlement of securities under Primary Auction"
"1100 hrs.","MLNS batch from LankaClear","Common ATM switch (CAS) Cycle 2 (27.03.2020)"
"","",""
"1115 hrs.","MLNS batch from LankaClear","Common  Electronic  Fund  Transfer  Switch 
(CEFTS)  Cycle  2 
(27.03.2020)"
"1115 hrs.","MLNS batch from LankaClear","Common POS switch (CPS) Cycle 2 (27.03.2020)"
"1230 hrs.","MLNS batch from LankaClear","SLIPS Cycle 2 (of 27.03.2020)"
"1235 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing."
"","",""
"1245 hrs.","Cut-off time for standing facilities","SLF and SDF windows are closed for Participants at 1245 hrs."
"","",""
"1255 hrs.","Cut-off time for Participant managed 
ILF Repo creation","Participants should not initiate ILF Repos after 1255 hrs."
"","Primary cut-off time for third party 
transactions","Close  for  new  transactions  (for  T  +  0)  in  favor  of  third  parties, 
except for bank-to-bank (MT2XX) series."
"","",""
