"1.","General:","","","",""
"1.1","Name of Licensed Finance Company:","","","",""
"","","","","",""
"1.2","Date of approval of the Board of Directors for the ABEP:","","","",""
"2.","Number of Existing Branches and Other Outlets (as at the year-end):","","","",""
"","","","","",""
"2.1","Branches","","","",""
"","a. All branches","","","",""
"","b. Loss making branches","","","",""
"2.2","Automated Teller Machines/ Cash Deposit Machines/ Cash Recycling Machines","","","",""
"","","","","",""
"","a. Located at branch premises","","","",""
"","","","","",""
"","b. Located at other places","","","",""
"2.3","Other Outlets (if any)","","","",""
"","","","","",""
"","a. Service Centers","","","",""
"","b. Pawning Centers","","","",""
"","c. Collection Centers","","","",""
"","d. Others (service windows, school savings centers, vehicle yards, etc.)","","","",""
