"","","","","","","",""
"","","Capital O/S","Interest","","Installment","","Bal C/F"
"","","","","","","",""
"Apr-19","","2,000,000","40,000","","(57,536)","","1,982,464"
"May-19","","1,982,464","39,649","","(57,536)","","1,964,577"
"","","","","","","",""
"Jun-19","","1,964,577","39,292","","(57,536)","","1,946,333"
"Jul-19","","1,946,333","38,927","","(57,536)","","1,927,724"
"Aug-19","","1,927,724","38,554","","(57,536)","","1,908,742"
"Sep-19","","1,908,742","38,175","","(57,536)","","1,889,381"
"","","","","","","",""
"Oct-19","","1,889,381","37,788","","(57,536)","","1,869,633"
"","","","","","","",""
"Nov-19","","1,869,633","37,393","","(57,536)","","1,849,490"
"Dec-19","","1,849,490","36,990","","(57,536)","","1,828,944"
"Jan-20","","1,828,944","36,579","","(57,536)","","1,807,986"
"Feb-20","","1,807,986","36,160","","(57,536)","","1,786,610"
"Mar-20","","1,786,610","35,732","","(57,536)","","1,764,807"
"Apr-20","1,764,807","","9,559","","","","1,774,366"
"","","","","","","",""
"May-20","1,774,366","","9,611","","","","1,783,977"
"Jun-20","1,783,977","","9,663","","","","1,793,640"
"","","","","","","",""
"Jul-20","1,793,640","","9,716","","","","1,803,356"
"Aug-20","1,803,356","","9,768","","","","1,813,124"
"Sep-20","1,813,124","","9,821","","","","1,822,945"
"Oct-20","","1,764,807","35,296","","(57,536)","","1,742,567"
"","","","","","","",""
"Nov-20","","1,742,567","34,851","","(57,536)","","1,719,882"
"","","","","","","",""
"Dec-20","","1,719,882","34,398","","(57,536)","","1,696,744"
"Jan-21","","1,696,744","33,935","","(57,536)","","1,673,143"
"Feb-21","","1,673,143","33,463","","(57,536)","","1,649,070"
"Mar-21","","1,649,070","32,981","","(57,536)","","1,624,515"
"Apr-21","","1,624,515","32,490","","(57,536)","","1,599,470"
"","","","","","","",""
"May-21","","1,599,470","31,989","","(57,536)","","1,573,923"
"","","","","","","",""
"Jun-21","","1,573,923","31,478","","(57,536)","","1,547,866"
"Jul-21","","1,547,866","30,957","","(57,536)","","1,521,287"
