"Currency","","No. of accounts as","","","Balance as at the","","","Credits","","","","Closing balance as","","No. of A/Cs as at"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","type*","at the beginning of
the week","","","","beginning of the","","","","","","at the end of the","","the end of the"
"","","","","","","week","","Inward
remittances**","Transfers from","","","week","","week"
"","","","","","","","","","IIAs","A/Cs in OBU","","","",""
"","","","","","","","","","","","","","",""
"USD","","","","","","","","","","","","","",""
"EUR","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"LkR","","","","","","","","","","","","","",""
