"1.","General:","","","",""
"1.1","Name of Specialised Leasing Company:","","","",""
"","","","","",""
"1.2","Date of approval of the Board of Directors for the ABEP:","","","",""
"2.","Number of Existing Branches, Collection Centers and Other Outlets (as at the year-end):","","","",""
"","","","","",""
"2.1","Branches","","","",""
"","a. All branches","","","",""
"","b. Loss making branches","","","",""
"2.2","Collection Centers","","","",""
"","","","","",""
"2.3","Other Outlets (if any)","","","",""
