"TIME","EVENT","ACTIVITIES /TRANSACTIONS"
"1100 hrs. to 
1115 hrs.","System start-up","Start-up of RTGS/SSS applications."
"","",""
"1115 hrs. to 
1130 hrs.","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"","",""
"1130 hrs.","LankaSettle System opens for 
business for 24.03.2020","System opens for effecting transactions of 24.03.2020."
"1130 hrs.","ILF/Auto reversal of Repos and 
Standing Deposit Facility (SDF)","Grant ILF and settle second leg of Repos of OMO and SDF"
"","",""
"1145 hrs.","Maturities/Interest payments, start of 
the day (SOD) file and maturities of 
CBSL Securities","Settlement  of  maturity  proceeds/coupon  payments  of  securities, 
effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL 
Securities."
"1150 hrs.","Multilateral Net Settlement (MLNS) 
Batch from LankaClear","SLIPS Cycle 1 (of 23.03.2020)"
"1200 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycles 1& 2 (of 24.03.2020)"
"1215 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycles 1& 2 (of 
24.03.2020)"
"","",""
"1215 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycles 1& 2 (of 24.03.2020)"
"","",""
"1230 hrs.","Reversal of Reverse Repos and 
Standing Lending Facility (SLF)","Settlement of second leg of Reverse Repos under OMO and SLF. 
(1st leg conducted on for the value day 23.03.2020)"
"1315 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing. (of 24.03.2020)"
"","",""
"","Primary cut-off time for third party 
transactions","Close for new transactions (for T + 0) in favour of third parties, 
except for bank-to-bank (MT2XX) series. (for 24.03.2020)"
"1325 hrs.","Cut-off time for standing facilities","SLF and SDF windows are closed for Participants at 1325 hrs."
"1330 hrs.","Cut-off time for Participant managed 
ILF Repo creation","Participants should not initiate ILF Repos after 1330 hrs."
"1340 hrs.","SDF","Settlement of first leg of SDF"
"","",""
"1345 hrs.","SLF","Settlement of first leg of SLF."
"","",""
"1355 hrs.","ILF Repayment","Repayment of ILF."
"1405 hrs.","Final Cut-off Time
Closure of System for business","No further inputs are accepted.  With the closure of system 
for business, queue/Settlement processing will cease and any 
transactions still in queues will be rejected by the system."
"1405 hrs. to 
1420 hrs.","EOD processing","End-of-day (EOD) processes e.g. generate reports/GL export (EOD) 
file, database maintenance for billing/statement printing purposes."
"1420 hrs.","System shut down","Commence  shutting  down  of  RTGS/SSS  application  software, 
obtain off-line backups."
