"1.","","General","","","","","","","",""
"1.1","","Name of Licensed Finance Company:","","","","","","","",""
"","","","","","","","","","",""
"1.2","","Category of the proposed business place to be closed (X):","","","","","","","",""
"","","","","","","","","","",""
"","","Branch","","","ATM/ CDM/ CRM","","","","Others (specify)",""
"1.3","","Date of approval of the Board of Directors for the proposed relocation:","","","","","","","",""
"1.4","","Reasons for the relocation of business place:","","","","","","","",""
"2.","","Location","","","","","","","",""
"","","","","","","","","","",""
"2.1","","Existing","","","","","","","",""
"","","","","","","","","","",""
"","","a. Administrative District","","","","","","","",""
"","","b. Name of Town","","","","","","","",""
"","","c. Local Government Authority","","","","","","","",""
"","","d. Divisional Secretariat","","","","","","","",""
"","","e. Postal Address","","","","","","","",""
"","","","","","","","","","",""
"2.2","","New (Proposed)","","","","","","","",""
"","","","","","","","","","",""
"","","a. Administrative District","","","","","","","",""
"","","b. Name of Town","","","","","","","",""
"","","","","","","","","","",""
"","","c. Local Government Authority","","","","","","","",""
"","","d. Divisional Secretariat","","","","","","","",""
"","","e. Postal Address","","","","","","","",""
"","","","","","","","","","",""
"3.","","If an economic feasibility study has been conducted for relocation of the business place and docu-
mented?","","","","","","","","Yes / No"
"","","","","","","","","","",""
"4.","","If a police clearance certificate and necessary approvals/clearance have been obtained from the 
relevant government authorities to establish the business places at the proposed location?","","","","","","","","Yes / No"
"5.","","Certification","","","","","","","",""
"","","","","","","","","","",""
"","","The undersigned have the authority to submit this information on behalf of the company and the information provided 
herein is true and correct to the best of my knowledge and belief.","","","","","","","",""
"","","Name:","","","","","","Name:","",""
"","","Title: Chief Executive Officer","","","","","","Title: Compliance Officer","",""
"","","Signature:","","","","","","Signature:","",""
"","","","","","","","","","",""
"","","Date:","","","","","","Date:","",""
