"","","","","","","",""
"","","Capital O/S","Interest","","Installment","","Bal C/F"
"Apr-19","","2,000,000","26,667","","(97,926)","","1,928,740"
"","","","","","","",""
"May-19","","1,928,740","25,717","","(97,926)","","1,856,531"
"Jun-19","","1,856,531","24,754","","(97,926)","","1,783,358"
"Jul-19","","1,783,358","23,778","","(97,926)","","1,709,210"
"Aug-19","","1,709,210","22,789","","(97,926)","","1,634,073"
"","","","","","","",""
"Sep-19","","1,634,073","21,788","","(97,926)","","1,557,935"
"","","","","","","",""
"Oct-19","","1,557,935","20,772","","(97,926)","","1,480,781"
"Nov-19","","1,480,781","19,744","","(97,926)","","1,402,599"
"Dec-19","","1,402,599","18,701","","(97,926)","","1,323,374"
"Jan-20","","1,323,374","17,645","","(97,926)","","1,243,092"
"Feb-20","","1,243,092","16,575","","(97,926)","","1,161,741"
"","","","","","","",""
"Mar-20","","1,161,741","15,490","","(97,926)","","1,079,304"
"Apr-20","","1,079,304","4,797","","","","1,084,101"
"May-20","","1,084,101","4,818","","","","1,088,920"
"Jun-20","","1,088,920","4,840","","","","1,093,759"
"Jul-20","","1,093,759","4,861","","","","1,098,620"
"Aug-20","","1,098,620","4,883","","","","1,103,503"
"Sep-20","","1,103,503","4,904","","","","1,108,408"
"","","","","","","",""
"Oct-20","","1,079,304","14,391","","(97,926)","","995,769"
"","","","","","","",""
"Nov-20","","995,769","13,277","","(97,926)","","911,120"
"Dec-20","","911,120","12,148","","(97,926)","","825,342"
"Jan-21","","825,342","11,005","","(97,926)","","738,420"
"Feb-21","","738,420","9,846","","(97,926)","","650,339"
"Mar-21","","650,339","8,671","","(97,926)","","561,084"
"","","","","","","",""
"Apr-21","","561,084","7,481","","(97,926)","","470,639"
