"","","",""
"Category of Crop","Crop","","Maximum 
Grace Period"
"","","",""
"Paddy","Paddy","","270 days"
"Chillies","Chillies","",""
"","","",""
"Onion","Onion","",""
"Pulses","Cowpea, Green Gram, Black Gram, Soya Beans, Maize, Kurakkan","",""
"Oil Seeds","Ground Nut, Gingelly, Sunflower","",""
"Root & Tuber","Potato, Sweet Potato, Manioc, Kiri Ala","",""
"","","",""
"Vegetables","Brinjal, Ladies Fingers, Beet Root, Beans, Cabbage, Carrot, Capsicum, Tomato, 
Leeks, Radish, Knol khol, Luffa, Bitter Gourd, Snake Gourd, Pumpkin","",""
"Other","Ginger","","270 days"
"","","",""
"","Sugarcane","","360 days"
