"1.","General","","","","",""
"","","","","","",""
"1.1","Name of Specialised Leasing Company:","","","","",""
"1.2","Date of approval of the Board of Directors for the proposed opening:","","","","",""
"2.","Details of the New Business Place: (submit separate information sheet for each business place)","","","","",""
"","","","","","",""
"2.1","Official name to be used by the business place","","","","",""
"","","","","","",""
"2.2","Location","","","","",""
"","a. 
Administrative District","","","","",""
"","","","","","",""
"","b. 
Name of Town","","","","",""
"","c. 
Local Government Authority","","","","",""
"","d. 
Divisional Secretariat","","","","",""
"","","","","","",""
"","e. 
Postal Address","","","","",""
"","","","","","",""
"2.3","If  an  economic  feasibility  study  has  been  conducted  for  opening  of  the  business  place  and 
documented?","","","","","Yes / No"
"2.4","If a police clearance certificate and necessary approvals/clearance have been obtained from 
the relevant government authorities for opening of the business place at the proposed location?","","","","","Yes / No"
"","","","","","",""
"2.5","Projected Financial Information: Please provide projections for each proposed business place for next three-year 
period of operations.","","","","",""
