"","","Ref. No.","Page"
"54","Policy Package to Support Greater Macroeconomic Stability: Allowing Flexibility","","50"
"","in the Exchange Rate","",""
"","Amendments to the Operating Instructions on “Incentive Scheme on Inward","33/04/012/0012/002","50"
"55","","",""
"","Worker Remittances” and “Repatriation of Export Proceeds into Sri Lanka”","",""
"","Amendments to the Operating Instructions on “Incentive Scheme on Inward","33/04/012/0012/003","50"
"56","","",""
"","Worker Remittances” and “Repatriation of Export Proceeds into Sri Lanka”","",""
"","Operating Instructions on Managing Intraday Volatility of the Exchange Rate","33/04/012/0012/004","51"
"57","","",""
"","Amendments to the Operating Instructions on “Repatriation of Export Proceeds","33/04/012/0012/005","51"
"58","","",""
"","into Sri Lanka”","",""
"","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2292/50","52"
"59","","",""
"","No. 2292/50 – Friday, August 12, 2022","",""
"","Operating Instructions issued to Licensed Banks on “Incentive Scheme on Inward","33/04/012/0012/006","52"
"60","","",""
"","Workers’ Remittances”","",""
"Public Debt","","",""
"61","Operating instructions on ‘Incentive Scheme for the Direct Issuance Window for","08/21/007/047/002","53"
"","SLDBs’","",""
"Payments and Settlements","","",""
"62","Payment and Settlement Systems General Direction No. 01 of 2022: General","","54"
"","Direction on Sri Lanka Interbank Payment System No.01 of 2022","",""
"63","Payment and Settlement Systems General Direction No. 02 of 2022: Operations","","59"
"","of the Common ATM Switch","",""
"64","Payment and Settlement Systems General Direction No. 03 of 2022: Operations","","62"
"","of the Common Electronic Fund Transfer Switch","",""
"65","Payment and Settlement Systems General Direction No. 04 of 2022 -","","64"
"","Operations of the Common Point-of-Sales Switch","",""
"66","Payment and Settlement Systems Circular No. 02 of 2022: Special Daily","34/07/029/0001/002","66"
"","Operating Schedule of the LankaSettle System on 11.05.2022","",""
"67","Payment and Settlement Systems Circular No. 03 of 2022: Liability Manager","","69"
"","(LM) Limits in LankaPay Common ATM Switch (CAS) and LankaPay Common","",""
"","Electronic Fund Transfer Switch (CEFTS)","",""
"68","Payment and Settlement Systems Circular No. 04/2022: Live Operations of the","34/01/024/0106/06","70"
"","LankaSettle system from the Disaster Recovery Site (DRS) on 22 July 2022","",""
"Regional Development","","",""
"69","Operating Instructions: Amendment to the Operating Instructions of the","RDD/PR/2010/03 (A-7)","71"
"","Prosperity Loan Scheme (Saubagya) – Increase of the interest rate applied for","",""
"","sub-loans","",""
"70","Operating Instructions: Amendment to the Operating Instructions of “Smallholder","RDD/STaRR-IS/2019/01 -","72"
"","Tea and Rubber Revitalization (STARR) Interest Subsidy Scheme”","(Amendment 1)",""
"71","Operating Instructions: Amendments to the Operating Instructions of New","RDD/NCRCS/2011/2022/01","73"
"","Comprehensive Rural Credit Scheme (NCRCS)","",""
"72","Operating Instructions: Amendment to the Operating Instructions of “Smallholder","RDD/STaRR-IS/2019/01-","74"
"","Tea and Rubber Revitalization (STaRR) Interest Subsidy Scheme”","(Amendment 2)",""
"73","Operating Instructions: Amendment to the Operating Instructions of “Smallholder","RDD/STaRR-IS/2019/01-","75"
"","Tea and Rubber Revitalization (STaRR) Interest Subsidy Scheme”","(Amendment 3)",""
"74","Granting of Concessions for the loans disbursed under the loan schemes","32/04/034/0001/001","76"
"","implemented by the Regional Development Department of the Central Bank of","",""
"","Sri Lanka","",""
