"","","Ref. No.","Page"
"Supervision of Non-Bank Financial Institutions","","",""
"75","Finance Business Act Directions No. 01 of 2022: Technology Risk Management","","79"
"","and Resilience","",""
"76","Finance Business Act Directions No. 02 of 2022: Mobile Phone Based E-Money","","89"
"","Services","",""
"77","Amendments to the Maximum Interest Rates on Deposits and Debt Instruments by","24/06/002/0002/002","93"
"","Licensed Finance Companies","",""
"78","Circular No. 01 of 2022: Concessions to Affected Borrowers Amidst the Prevailing","","96"
"","Extraordinary Macroeconomic Circumstances","",""
"79","Finance Business Act Directions No. 03 of 2022: Recording of Unique Identification","","97"
"","Numbers of Depositors","",""
"80","Guidelines on Sustainable Finance Activities","24/10/001/0019/005","99"
