"","Government","Public","Commercial","Financial","",""
"","","","Banks","Institutions","",""
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Foreign Currency Financial Liabilities","","","","","",""
"Banks and Financial Institutions","-","-","-","-","146,408,028","146,408,028"
"Derivative Financial Instruments","-","-","71,697,994","-","-","71,697,994"
"Asian Clearing Union","-","-","-","736,258,129","-","736,258,129"
"IMF","-","-","-","1,127,925,092","-","1,127,925,092"
"Other","1,021,468","-","-","69,173","593,292,810","594,383,451"
"Total Foreign Currency Financial Liabilities","1,021,468","-","71,697,994","1,864,252,394","739,700,838","2,676,672,694"
"Local Currency Financial Liabilities","","","","","",""
"Deposits of Banks and Financial Institutions","-","-","311,537,802","-","11,508,379","323,046,181"
"Deposits of Government and Government Entities","221,406","5","-","-","-","221,411"
"Securities Sold Under Repurchase Agreements & Standing","","","","","",""
"","-","-","330,637,059","-","-","330,637,059"
"Deposit Facility","","","","","",""
"Currency in Circulation","-","1,026,567,252","-","-","-","1,026,567,252"
