"","","","Stage 1","Stage 2","Stage 3","Total"
"","","Rs.000","Rs.000","Rs.000","Rs.000","Rs.000"
"Loans to Banks","AAA","-","24,917","-","-","24,917"
"","AA+","-","-","-","-","-"
"","AA-","-","46,591,702","5,408,477","-","52,000,179"
"","A+","-","16,374,633","-","-","16,374,633"
"","A","-","9,979,661","-","-","9,979,661"
"","A-","-","-","-","-","-"
"","BBB+","-","6,205,432","-","-","6,205,432"
"","BBB-","-","2,939,496","-","-","2,939,496"
"","BB+","-","390,018","2,320,747","-","2,710,765"
"","BB","-","-","-","-","-"
"","BB-","-","-","-","-","-"
"","NR","-","373,575","-","-","373,575"
"","Credit Guarantee Scheme","","","","",""
"","","-","-","-","13,016","13,016"
"","of CBSL","","","","",""
"Gross Carrying Amount","","-","82,879,434","7,729,224","13,016","90,621,674"
"Loss Allowance","","-","(14,435)","(21,477)","(13,016)","(48,928)"
"Carrying Amount","","-","82,864,999","7,707,747","-","90,572,746"
"Other Assets","","","","","",""
"","Government Securities","","","","",""
"","(Risk Free Investment)","15,118,446","-","-","-","15,118,446"
"","Receivable from the","","","","",""
"","Government (Risk Free","4,087,983","-","-","-","4,087,983"
"","Investment)","","","","",""
"","Other Risk Free","","","","",""
"","","8,105,330","-","-","-","8,105,330"
"","Receivable","","","","",""
"Locally Rated","AAA","-","325,580","-","-","325,580"
"","AAA-","-","5,681,358","17,393","-","5,699,251"
"","AA+","-","-","-","-","-"
"","A+","-","600,404","127,206","-","727,610"
"","A","-","-","-","-","-"
