"","chartered","approach","per perch","price per","rent per","expenses","Purchase","as at 31"
"","valuation","","(Rs.)","square foot","month","","","December"
"","surveyor","","","(Rs.)","(Rs.)","","","2020"
"","","","","","","","","(Rs. 000)"
"Land & Building","","","","","","","",""
"","","Market Approach &","","","","","",""
"Head Office - Colombo 01","A. A. M. Fathihu","","15,750,000","11,000 - 18,500","-","-","-","10,437,567"
"","","Cost Approach","","","","","",""
"Whiteaways Building -","","Market Approach &","","","","","",""
"","-do-","","13,200,000","-","7,000,000","35%","16.66","783,407"
"Colombo 01","","Income Approach","","","","","",""
"Central Point Building -","","Market Approach &","","","","","",""
"","-do-","","14,400,000","","-    10,000,000","35%","16.66","1,077,180"
"Colombo 01","","Income Approach","","","","","",""
"Centre for Banking","","Market Approach &","","","","","",""
"","-do-","","3,600,000","3,000 - 12,000","-","-","-","2,660,026"
"Studies - Rajagiriya","","Cost Approach","","","","","",""
"Bank House - Colombo 07","","Market Approach &","","","","","",""
"","-do-","","10,000,000","4,000 - 11,000","-","-","-","1,709,163"
"","","Cost Approach","","","","","",""
"","","Market Approach &","","","","","",""
"Regional Office - Matara","-do-","","2,000,000 - 4,000,000","4,000 - 9,500","-","-","-","360,397"
"","","Cost Approach","","","","","",""
"","","Market Approach &","","","","","",""
"Regional Office - Matale","-do-","","150,000 - 750,000","3,000 - 9,500","-","-","-","222,786"
"","","Cost Approach","","","","","",""
"Holiday Home -","","Market Approach &","","","","","",""
"","-do-","","1,350,000","5,000 - 8,750","-","-","-","334,193"
"Nuwara Eliya","","Cost Approach","","","","","",""
"","","Market Approach &","","","","","",""
"Holiday Home - Kataragama","-do-","","270,000","5,000 - 12,500","-","-","-","231,605"
"","","Cost Approach","","","","","",""
"Building on Leasehold Land","","","","","","","",""
"Regional Office - Anuradhapura","A. A. M. Fathihu","Cost Approach","-","4,500 - 9,500","-","-","-","90,783"
"Holiday Home - Anuradhapura","-do-","Cost Approach","-","7,000","-","-","-","21,960"
"Regional Office - Kilinochchi","-do-","Cost Approach","-","2,000 - 8,500","-","-","-","199,050"
"Holiday Home - Somawathiya","-do-","Cost Approach","-","11,750 - 12,000","-","-","-","45,946"
